name,code,logo,rank,region,region_code,region_ranking,score,indicator_Alumni,indicator_Award,indicator_HiCi,indicator_N&S,indicator_PUB,indicator_PCP
Harvard University,harvard-university,logo/032bd1b77.png,1,United States,us,1,100,100,100,100,100,100,76.6
Stanford University,stanford-university,logo/13de8913b.png,2,United States,us,2,73.3,40.7,89.6,80.1,70.1,70.6,53.8
Massachusetts Institute of Technology (MIT),massachusetts-institute-of-technology-mit,logo/79165fd8b.png,3,United States,us,3,70.4,68.2,80.7,60.6,73.1,61.1,68
University of California - Berkeley,university-of-california-berkeley,logo/0ff179fb8.png,4,United States,us,4,69.6,65.1,79.4,66.1,65.6,67.9,56.5
University of Cambridge,university-of-cambridge,logo/8d9861b69.png,5,United Kingdom,gb,1,68.8,77.1,96.6,50.8,55.6,66.4,55.8
Princeton University,princeton-university,logo/b1dad5288.png,6,United States,us,5,61,53.3,93.4,57.1,43,42.4,70.3
California Institute of Technology,california-institute-of-technology,logo/c956f3d98.png,7,United States,us,6,59.6,49.5,66.7,49.3,56.4,44,100
Columbia University,columbia-university,logo/ce3421720.png,8,United States,us,7,58.8,63.5,65.9,52.1,51.9,68.8,33.2
University of Chicago,university-of-chicago,logo/b4f6eec47.png,9,United States,us,8,57.1,59.8,86.3,49,42.9,49.8,42
University of Oxford,university-of-oxford,logo/c1d967477.png,10,United Kingdom,gb,2,56.6,49.7,54.9,52.3,51.9,70.9,43.1
Yale University,yale-university,logo/5c6f4b7f6.png,11,United States,us,9,54.5,47.6,50.4,51,58.8,63,37.8
University of California - Los Angeles,university-of-california-los-angeles,logo/27bdc3879.png,12,United States,us,10,50.7,29.5,47.1,52.3,47.2,70.7,31.6
Cornell University,cornell-university,logo/e6c9fdb3e.png,13,United States,us,11,50.5,42,49.8,50.4,45.3,59.9,40.2
University of California - San Diego,university-of-california-san-diego,logo/3ef15c5ab.png,14,United States,us,12,48.7,19.2,35.5,56.6,55.1,62.9,36.6
University of Washington,university-of-washington,logo/e37a45f2d.png,15,United States,us,13,47.8,21.2,31.6,53,51.7,71.9,29.3
Johns Hopkins University,johns-hopkins-university,logo/6a65dac86.png,16,United States,us,14,46.3,37.7,33.6,44,44.9,70.2,28.8
University of Pennsylvania,university-of-pennsylvania,logo/9cdff1ab0.png,17,United States,us,15,46.1,31.6,33.8,49.6,39.6,67.7,37.4
University College London,university-college-london,logo/9f3188b58.png,18,United Kingdom,gb,3,44.5,28.1,36.2,38.5,40.6,71.7,32.7
University of California - San Francisco,university-of-california-san-francisco,logo/5d107d88e.png,18,United States,us,16,44.5,0,39.9,46.8,53.5,59.5,34.9
Swiss Federal Institute of Technology Zurich,eth-zurich,logo/690aaf016.png,20,Switzerland,ch,1,43.7,29.5,35.5,38.4,45.9,55.7,46.3
The University of Tokyo,the-university-of-tokyo,logo/68d505f23.png,21,Japan,jp,1,42,30.8,14.1,41.9,48.6,70.8,28.8
University of Michigan-Ann Arbor,university-of-michigan-ann-arbor,logo/5edf88399.png,22,United States,us,17,41.7,34.4,0,56.2,41.3,75.9,25.6
The Imperial College of Science - Technology and Medicine,imperial-college-london,logo/20b72ddaf.png,23,United Kingdom,gb,4,41.5,14.5,35.8,44.2,34.5,62,38
University of Wisconsin - Madison,university-of-wisconsin-madison,logo/da433331f.png,24,United States,us,18,41.1,30.8,34.8,40.2,35.7,62.5,24.6
University of Toronto,university-of-toronto,logo/760dedb4f.png,25,Canada,ca,1,40.6,19.9,17.2,38.8,38.6,79.1,29.3
Kyoto University,kyoto-university,logo/ac21f9c26.png,26,Japan,jp,2,38.9,31.6,37.2,33.6,32.6,59,23.5
New York University,new-york-university,logo/d254e1d21.png,27,United States,us,19-20,38.8,28.1,31.9,35.2,40.3,56.2,23.3
Northwestern University,northwestern-university,logo/7e0da1019.png,27,United States,us,19-20,38.8,15.4,22.1,50.3,37,58.1,28.8
University of Illinois at Urbana-Champaign,university-of-illinois-at-urbana-champaign,logo/49df86f43.png,29,United States,us,21,38.6,29.9,36.2,34.9,32.4,55.5,28.6
University of Minnesota - Twin Cities,university-of-minnesota-twin-cities,logo/7f9e67da9.png,30,United States,us,22,38.5,29.5,16.3,47.3,32.5,64,26.2
Duke University,duke-university,logo/793d0ba4d.png,31,United States,us,23,38,15.4,14.9,50.2,39,61.7,23.9
Washington University in St. Louis,washington-university-in-st-louis,logo/e4356564f.png,32,United States,us,24,37.4,22.9,24.9,40.7,41.8,50.5,26
Rockefeller University,rockefeller-university,logo/22e351bb0.png,33,United States,us,25,36.5,17,59.8,30.3,40.9,19,39.6
University of Colorado at Boulder,university-of-colorado-at-boulder,logo/41aff2fed.png,34,United States,us,26,36,12.6,34.1,37.1,36,45,34.2
University of Copenhagen,university-of-copenhagen,logo/ba52788d7.png,35,Denmark,dk,1,35.7,21.8,18.8,28,34,63.2,39.2
Pierre and Marie Curie University - Paris 6,pierre-and-marie-curie-university-paris-6,logo/438b4206b.png,36,France,fr,1,35,33.6,27.4,25.8,29.8,59.2,23.9
The University of Texas at Austin,the-university-of-texas-at-austin,logo/203d8cd87.png,37,United States,us,27,34.8,16.2,16.3,38.6,37.5,56,26.6
University of California - Santa Barbara,university-of-california-santa-barbara,logo-jpg/63f81166100.jpg,38,United States,us,28,34.6,14.5,39.1,38.7,27.5,37.3,38
University of North Carolina at Chapel Hill,university-of-north-carolina-at-chapel-hill,logo/6f189065b.png,39,United States,us,29,34.4,8.9,16.3,39.8,33.5,61.2,25.6
University of British Columbia,university-of-british-columbia,logo/38ff70adf.png,40,Canada,ca,2,34.1,15.4,18.8,32.8,32,63,24.2
The University of Manchester,the-university-of-manchester,logo/ef5cc8934.png,41,United Kingdom,gb,5,33.6,18.5,32.6,27.1,26.1,56.2,25.6
University of Paris-Sud (Paris 11),university-of-paris-sud-paris-11,logo/250639a27.png,41,France,fr,2,33.6,30.3,54.3,16.8,17.4,47.3,26.6
University of Maryland - College Park,university-of-maryland-college-park,logo/0eeb3a1e0.png,43,United States,us,30,32.8,19.2,20,33,31.6,52.7,26.5
The University of Melbourne,the-university-of-melbourne,logo/741caa454.png,44,Australia,au,1,32.3,17,13.3,28.6,25.3,66.9,30.2
The University of Texas Southwestern Medical Center at Dallas,the-university-of-texas-southwestern-medical-center-at-dallas,logo/8ab040a7d.png,44,United States,us,31,32.3,18.5,34.5,31.1,35.6,35.8,22.4
Heidelberg University,heidelberg-university,logo/c1b74c074.png,46,Germany,de,1,32.2,19.9,25.3,23.7,29.4,51.7,34.2
The University of Edinburgh,the-university-of-edinburgh,logo/ce563e70b.png,47,United Kingdom,gb,6,32,20.5,24.9,25.8,30.5,51.9,25.9
Karolinska Institute,karolinska-institute,logo/826acd5a2.png,48,Sweden,se,1,31.9,22.4,26.6,24.8,23.5,50.8,37.4
University of Southern California,university-of-southern-california,logo/f94b07167.png,49,United States,us,32,31.3,0,31.7,35.6,22.1,53.2,20.3
University of California - Irvine,university-of-california-irvine,logo/b1df85949.png,50,United States,us,33,31,0,29.3,34.3,28.9,45.3,27.5
Technical University Munich,technical-university-of-munich,logo/3d748c924.png,51,Germany,de,2,30.5,34.8,21.6,22.3,23.2,48.3,32.3
University of Munich,university-of-munich,logo/6d76dd8bd.png,52,Germany,de,3,30.3,25.6,19.1,20.3,28.9,50.7,32.6
Vanderbilt University,vanderbilt-university,logo/bb01ff238.png,53,United States,us,34,30.2,15.4,29,28.4,21.8,51,19
University of Zurich,university-of-zurich,logo/897c2afe4.png,54,Switzerland,ch,2,30.1,5.1,24,27.1,29,51.6,25.4
King's College London,kings-college-london,logo/7c3673100.png,55,United Kingdom,gb,7,30,21.2,21,29.5,18.2,54.3,25.6
Utrecht University,utrecht-university,logo/5063041ca.png,56,Netherlands,nl,1,29.8,22.9,20,29.1,25.4,46,26.9
University of California - Davis,university-of-california-davis,logo/59eef6399.png,57,United States,us,35,29.7,0,0,41,33,58,26
University of Geneva,university-of-geneva,logo/7cd1dc0d1.png,58,Switzerland,ch,3,29.4,27.1,28.2,21.4,27.6,38.1,29.4
University of Oslo,university-of-oslo,logo/2d1aa99b3.png,58,Norway,no,1,29.4,28.1,32.6,15.9,18.2,49.1,26.9
Pennsylvania State University - University Park,pennsylvania-state-university-university-park,logo/1069b7da2.png,60,United States,us,36,29.3,10.3,0,41.6,31.6,53.4,22.4
Carnegie Mellon University,carnegie-mellon-university,logo/e1f857b46.png,61,United States,us,37-38,29.2,31.6,31.6,28.6,15.2,34.3,34.4
Purdue University - West Lafayette,purdue-university-west-lafayette,logo/2ef5fbfcc.png,61,United States,us,37-38,29.2,13.6,23.1,27.7,25.1,49,22.4
Uppsala University,uppsala-university,logo/8e0a7d1d4.png,61,Sweden,se,2,29.2,17.8,27.4,18.4,24.6,49.8,27.1
