name,code,logo,rank,region,region_code,region_ranking,score,indicator_Alumni,indicator_Award,indicator_HiCi,indicator_N&S,indicator_PUB,indicator_PCP
Harvard University,harvard-university,logo/032bd1b77.png,1,United States,us,1,100,100,100,100,100,100,79.3
Stanford University,stanford-university,logo/13de8913b.png,2,United States,us,2,74.2,43.8,86.6,71.1,79.5,77.1,53.8
University of Cambridge,university-of-cambridge,logo/8d9861b69.png,3,United Kingdom,gb,1,70.6,79.5,98.2,50,57.1,72,57.5
Massachusetts Institute of Technology (MIT),massachusetts-institute-of-technology-mit,logo/79165fd8b.png,4,United States,us,3,69.6,71.4,85.1,51.4,69.8,63.7,69.7
University of California - Berkeley,university-of-california-berkeley,logo/0ff179fb8.png,5,United States,us,4,65.8,64.9,76.7,53.3,68.5,63.4,56
Princeton University,princeton-university,logo/b1dad5288.png,6,United States,us,5,61.1,59,97.9,41.4,49.9,44.7,71.8
Columbia University,columbia-university,logo/ce3421720.png,7,United States,us,6,58.6,59.5,65.8,48,54.8,72.3,32.9
California Institute of Technology,california-institute-of-technology,logo/c956f3d98.png,8,United States,us,7,57.7,50.7,69.1,36.4,57.9,43.9,100
University of Oxford,university-of-oxford,logo/c1d967477.png,9,United Kingdom,gb,2,57.2,48.9,54.3,46.4,53.9,78.9,43.7
University of Chicago,university-of-chicago,logo/b4f6eec47.png,10,United States,us,8,54.6,58.7,88.2,35.7,41.3,51.6,43
Yale University,yale-university,logo/5c6f4b7f6.png,11,United States,us,9,53.5,47,52.8,50,51.7,65.6,37.3
Cornell University,cornell-university,logo/e6c9fdb3e.png,12,United States,us,10,50.4,42.4,48.1,45.9,50.8,59.8,42
University of California - Los Angeles,university-of-california-los-angeles,logo/27bdc3879.png,13,United States,us,11,50.3,27.7,45.5,50.5,47.8,72.9,31.2
Paris-Saclay University,paris-saclay-university,logo/98e838fa6.png,14,France,fr,1,49.6,28.4,74.6,42.6,29.8,66,31.8
Johns Hopkins University,johns-hopkins-university,logo/6a65dac86.png,15,United States,us,12,48.3,38.4,36.5,47,43.8,75.4,29.1
University College London,university-college-london,logo/9f3188b58.png,16,United Kingdom,gb,3,46.6,26,35,44.3,39.3,81.1,31.3
University of Washington,university-of-washington,logo/e37a45f2d.png,16,United States,us,13,46.6,23.7,36.7,40.8,49.6,75.5,27.6
University of California - San Diego,university-of-california-san-diego,logo/3ef15c5ab.png,18,United States,us,14,46.3,18.8,34.3,51.4,48,66.9,33
University of Pennsylvania,university-of-pennsylvania,logo/9cdff1ab0.png,19,United States,us,15,46.2,33.5,32.7,43.2,42.7,71.6,38.2
ETH Zurich,eth-zurich,logo/690aaf016.png,20,Switzerland,ch,1,46.1,27.7,44.8,31.3,53.5,57.9,48.5
University of California - San Francisco,university-of-california-san-francisco,logo/5d107d88e.png,21,United States,us,16,42.8,0,38.6,42,49.7,64.2,30.5
University of Michigan-Ann Arbor,university-of-michigan-ann-arbor,logo/5edf88399.png,22,United States,us,17,41,32.6,10.2,40.2,40.1,81.7,24.2
University of Toronto,university-of-toronto,logo/760dedb4f.png,23,Canada,ca,1,40.9,17.2,16.6,36.4,38.3,85.3,30
Washington University in St. Louis,washington-university-in-st-louis,logo/e4356564f.png,23,United States,us,18,40.9,21.7,24.1,51.9,39.6,54.9,37.6
Imperial College London,imperial-college-london,logo/20b72ddaf.png,25,United Kingdom,gb,4,40.3,13.3,34.6,36.4,35.1,66.6,35.7
The University of Tokyo,the-university-of-tokyo,logo/68d505f23.png,26,Japan,jp,1,40.1,36.4,24.5,24.3,43.5,71.6,28.9
Duke University,duke-university,logo/793d0ba4d.png,27,United States,us,19-20,39.2,20.3,18.6,51,34.8,65.5,24.3
New York University,new-york-university,logo/d254e1d21.png,27,United States,us,19-20,39.2,27.7,36.9,32.8,35.7,62.1,21.4
Tsinghua University,tsinghua-university,logo/27532357.png,29,China,cn,1,38.1,9.4,0,45.4,42.9,80.2,26.4
Northwestern University,northwestern-university,logo/7e0da1019.png,30,United States,us,21-22,37.6,13.3,27,39,33.3,63.1,29.7
University of North Carolina at Chapel Hill,university-of-north-carolina-at-chapel-hill,logo/6f189065b.png,30,United States,us,21-22,37.6,7.7,22.9,44.3,29.6,65.2,36.4
University of Wisconsin - Madison,university-of-wisconsin-madison,logo/da433331f.png,32,United States,us,23,37.4,29.2,33.6,30.5,28.2,64.7,23.2
University of Copenhagen,university-of-copenhagen,logo/ba52788d7.png,33,Denmark,dk,1,36.9,19.6,18.2,29.7,37.3,68.7,34.2
Kyoto University,kyoto-university,logo/ac21f9c26.png,34,Japan,jp,2,36.3,35.2,41.3,21,27.3,58.8,23.8
The University of Melbourne,the-university-of-melbourne,logo/741caa454.png,35,Australia,au,1,36,15.4,12.9,40.8,20.6,77.3,33.7
PSL University,psl-university,logo-jpg/d47a74ad800.jpg,36,France,fr,2,35.5,52.7,48,15.7,21.3,50.9,23.3
The University of Manchester,the-university-of-manchester,logo/ef5cc8934.png,36,United Kingdom,gb,5,35.5,15.4,31.5,30.5,29.1,61.2,27.7
University of British Columbia,university-of-british-columbia,logo/38ff70adf.png,38,Canada,ca,2,35.4,14.4,18.2,40.2,27.2,68.4,24.7
Sorbonne University,sorbonne-university,logo/f900e4997.png,39,France,fr,3,35.3,34.5,26.5,23.2,28.8,64,26.1
University of Minnesota - Twin Cities,university-of-minnesota-twin-cities,logo/7f9e67da9.png,40,United States,us,24,35,27.2,15.8,36.4,26.8,67.6,22.9
The University of Texas at Austin,the-university-of-texas-at-austin,logo/203d8cd87.png,41,United States,us,25,34.9,24.3,22.9,32.1,30.2,59.6,27.9
The University of Edinburgh,the-university-of-edinburgh,logo/ce563e70b.png,42,United Kingdom,gb,6,34.7,26.6,24.1,32.8,28.8,58.3,25.6
Rockefeller University,rockefeller-university,logo/22e351bb0.png,43,United States,us,26,34.4,16.3,60.1,27.1,40.3,17.1,31.5
University of Colorado at Boulder,university-of-colorado-at-boulder,logo/41aff2fed.png,44,United States,us,27,34.2,12.1,32.9,26.2,37.3,48.6,32.9
Karolinska Institute,karolinska-institute,logo/826acd5a2.png,45,Sweden,se,1,33.9,23.7,25.7,23.2,24.1,56.5,49.1
University of Illinois at Urbana-Champaign,university-of-illinois-at-urbana-champaign,logo/49df86f43.png,45,United States,us,28,33.9,26.6,35,15.7,31.3,57.2,26.7
King's College London,kings-college-london,logo/7c3673100.png,47,United Kingdom,gb,7,33.6,20.3,20.3,39.6,19.6,61,27.8
The University of Texas Southwestern Medical Center at Dallas,the-university-of-texas-southwestern-medical-center-at-dallas,logo/8ab040a7d.png,48,United States,us,29,33,18,33.3,29.7,38.9,37,27.4
Peking University,peking-university,logo/86350223.png,49,China,cn,2,32.4,10.9,0,29.7,33.4,78.1,24.4
University of California - Santa Barbara,university-of-california-santa-barbara,logo-jpg/63f81166100.jpg,49,United States,us,30,32.4,14.4,37.8,26.2,29.5,39.9,36
University of Munich,university-of-munich,logo/6d76dd8bd.png,51,Germany,de,1,32.3,26,18.5,26.2,30.8,55.3,28.9
Utrecht University,utrecht-university,logo/5063041ca.png,52,Netherlands,nl,1,31.6,21.7,19.3,32.1,23.4,54.8,28.8
University of Maryland - College Park,university-of-maryland-college-park,logo/0eeb3a1e0.png,53,United States,us,31,31.5,18,19.3,21,35.4,55.2,28.8
Technical University of Munich,technical-university-of-munich,logo/3d748c924.png,54,Germany,de,2,31.4,35.6,20.8,19.8,26.9,54.2,28.2
The University of Queensland,the-university-of-queensland,logo/9d6b97a7c.png,54,Australia,au,2,31.4,12.1,0,37.7,24.5,68.4,34.6
University of Zurich,university-of-zurich,logo/897c2afe4.png,56,Switzerland,ch,2,31.3,0,23.2,28,31.1,52.6,36.4
Heidelberg University,heidelberg-university,logo/c1b74c074.png,57,Germany,de,3,30.9,18.8,24.5,22.1,28.1,53.4,27.6
Zhejiang University,zhejiang-university,logo/88311656.png,58,China,cn,3,30.7,0,0,33.6,21.4,84.2,22.1
University of Geneva,university-of-geneva,logo/7cd1dc0d1.png,59,Switzerland,ch,3,30.6,35.2,32.5,15.7,26.4,40.7,34.4
University of Oslo,university-of-oslo,logo/2d1aa99b3.png,60,Norway,no,1,30.3,26,31.5,15.7,17.1,56.9,28.7
University of Southern California,university-of-southern-california,logo/f94b07167.png,61,United States,us,32,30.1,0,30.6,28,21.2,55.9,23.7
Vanderbilt University,vanderbilt-university,logo/bb01ff238.png,62,United States,us,33,30,14.4,28,21,20.2,54.3,32.4
Shanghai Jiao Tong University,shanghai-jiao-tong-university,logo/27403919.png,63,China,cn,4,29.6,0,0,28,18.9,85.5,25.3
University of Bristol,university-of-bristol,logo/73d83b1e4.png,64,United Kingdom,gb,8,29.3,5.4,15.8,32.1,28.8,49.8,28.4
University of Paris,university-of-paris,logo-jpg/a37a44c0a00.jpg,65,France,fr,4,29.1,14.6,12.9,28,26.5,57,21.9
Ghent University,ghent-university,logo/a05682830.png,66,Belgium,be,1,28.9,0,12.9,33.6,17.5,60.6,34.1
The Australian National University,the-australian-national-university,logo/e6233a5b3.png,67,Australia,au,3,28.8,13.3,18.6,25.2,25.9,48.4,32.1
The University of Texas M. D. Anderson Cancer Center,the-university-of-texas-m-d-anderson-cancer-center,logo/1100fcdc8.png,67,United States,us,34,28.8,0,14.4,38.3,20.2,41.1,53.7
Aarhus University,aarhus-university,logo/0ec23abb4.png,69,Denmark,dk,2,28.7,10.9,21.3,21,21.6,57.4,27.1
Stockholm University,stockholm-university,logo/bd0e71ccb.png,69,Sweden,se,2,28.7,21.7,26.5,22.1,21.9,45.1,27.7
University of California - Irvine,university-of-california-irvine,logo/b1df85949.png,69,United States,us,35,28.7,0,28.3,26.2,24.2,49.4,25.1
University of Groningen,university-of-groningen,logo/cb5787d1f.png,69,Netherlands,nl,2,28.7,13.3,24.6,21,17.4,54.9,31.7
University of Science and Technology of China,university-of-science-and-technology-of-china,logo/50132214.png,73,China,cn,5,28.6,0,0,34.3,24.1,67.2,28.8
The University of New South Wales,the-university-of-new-south-wales,logo/269ebda14.png,74,Australia,au,4-5,28.5,0,0,38.3,18.9,66.8,31.1
University of Helsinki,university-of-helsinki,logo/174aa57e2.png,74,Finland,fi,1,28.5,16.3,20.3,23.2,18.2,56.4,26.7
University of Sydney,university-of-sydney,logo/6f7db18c8.png,74,Australia,au,4-5,28.5,13.3,0,28.9,17.3,72.1,29.2
Uppsala University,uppsala-university,logo/8e0a7d1d4.png,77,Sweden,se,3,28.4,15.4,26.5,14,23.3,53.4,28.2
McGill University,mcgill-university,logo/88d833c3e.png,78,Canada,ca,3,28.3,31.2,0,22.1,25,62.8,26
Purdue University - West Lafayette,purdue-university-west-lafayette,logo/2ef5fbfcc.png,79,United States,us,36,28,12.1,22.3,17.1,24.6,55.1,24.3
Erasmus University Rotterdam,erasmus-university-rotterdam,logo/7dc2ef049.png,80,Netherlands,nl,3-4,27.7,0,14.4,34.3,13.6,53.8,39.7
Leiden University,leiden-university,logo/970699879.png,80,Netherlands,nl,3-4,27.7,15.4,9.1,28,21.3,54,31.3
National University of Singapore,national-university-of-singapore,logo/31943e0cb.png,80,Singapore,sg,1,27.7,0,0,35.7,21.9,63.2,29.9
Nagoya University,nagoya-university,logo/958492796.png,83,Japan,jp,3,27.2,28.2,24.5,15.7,20.3,46.2,25
Swiss Federal Institute of Technology Lausanne,swiss-federal-institute-of-technology-lausanne,logo/1946ead7f.png,83,Switzerland,ch,4,27.2,0,0,35,33.2,42.6,44.8
Monash University,monash-university,logo/6d8339a6f.png,85,Australia,au,6-7,27.1,0,0,26.2,23.4,68.1,30
The University of Western Australia,the-university-of-western-australia,logo/535124d88.png,85,Australia,au,6-7,27.1,20.3,13.6,25.2,15.6,51.1,33.9
University of Bonn,university-of-bonn,logo/68c81f6c8.png,87,Germany,de,4,27,23,34.5,19.8,16.5,38.3,23.6
University of Basel,university-of-basel,logo/4b95c2a51.png,88,Switzerland,ch,5,26.9,22.4,15.8,15.7,30.5,39.8,37.2
University of Florida,university-of-florida,logo/a1fc569d1.png,88,United States,us,37,26.9,16.3,0,27.1,18.1,66.2,24.2
Boston University,boston-university,logo/cbbf3b6e2.png,90,United States,us,38,26.7,10.9,11.1,27.1,21.4,54.1,22.9
Nanyang Technological University,nanyang-technological-university,logo/f3d48b4a3.png,91,Singapore,sg,2,26.3,0,0,37.7,20.9,56.1,27.9
University of California - Davis,university-of-california-davis,logo/59eef6399.png,91,United States,us,39,26.3,0,0,28,27.4,61.8,23.3
Moscow State University,moscow-state-university,logo/98123a275.png,93,Russia,ru,1,26.2,39.5,31.9,0,10.3,52.8,27
Weizmann Institute of Science,weizmann-institute-of-science,logo/f5dfa93ce.png,93,Israel,il,1,26.2,17.2,15.8,28.9,36.5,27.5,22.7
Carnegie Mellon University,carnegie-mellon-university,logo/e1f857b46.png,95,United States,us,40,26.1,30.2,30.5,17.1,16,34.7,28.4
University of Pittsburgh,university-of-pittsburgh,logo/bfcc56ad8.png,96,United States,us,41,26,17.2,0,28,19.1,62.6,18.1
KU Leuven,ku-leuven,logo/666263d88.png,97,Belgium,be,2,25.9,0,0,27.1,24.2,60.9,29.6
McMaster University,mcmaster-university,logo/0f693978a.png,98,Canada,ca,4,25.8,18.8,18.2,26.2,9.7,46.9,32
Université Grenoble Alpes,universit-grenoble-alpes,logo/85f28315e.png,99,France,fr,5,25.7,12.1,14.4,23.2,22.6,48.9,21.1
Fudan University,fudan-university,logo/28312850.png,100,China,cn,6,25.5,0,0,21,22.4,70.6,22
Aix Marseille University,aix-marseille-university,logo/db573f4a7.png,101-150,France,fr,6-7,,12.1,0,27.1,22.9,53,19.8
Arizona State University,arizona-state-university,logo/4b703d82d.png,101-150,United States,us,42-56,,0,19.3,23.2,19.2,47.8,22.7
Brown University,brown-university,logo/3d8b527ff.png,101-150,United States,us,42-56,,14.4,19.3,17.1,18.8,46.8,30.7
Case Western Reserve University,case-western-reserve-university,logo/885955e6b.png,101-150,United States,us,42-56,,31.2,10.5,21,16.5,40.3,25.6
Central South University,central-south-university,logo/65984093.png,101-150,China,cn,7-13,,0,0,19.8,7.5,70.1,19.7
Emory University,emory-university,logo/7489183e0.png,101-150,United States,us,42-56,,0,0,27.1,23.3,55.2,24
Georgia Institute of Technology,georgia-institute-of-technology,logo/ce6aa6357.png,101-150,United States,us,42-56,,12.1,0,24.3,19.8,46.9,30.2
Goethe University Frankfurt,goethe-university-frankfurt,logo/4c5e6a039.png,101-150,Germany,de,5-7,,29.2,0,19.8,19.8,41,21.2
Harbin Institute of Technology,harbin-institute-of-technology,logo/88331082.png,101-150,China,cn,7-13,,0,0,23.2,9.3,65.6,20.4
Huazhong University of Science and Technology,huazhong-university-of-science-and-technology,logo/69664504.png,101-150,China,cn,7-13,,0,0,24.3,12.5,70.9,19.8
Icahn School of Medicine at Mount Sinai,icahn-school-of-medicine-at-mount-sinai,logo-jpg/a23fc3bb300.jpg,101-150,United States,us,42-56,,0,0,40.8,23.2,43.9,18.6
