name,code,logo,rank,region,region_code,region_ranking,score,indicator_Alumni,indicator_Award,indicator_HiCi,indicator_N&S,indicator_PUB,indicator_PCP
Harvard University,harvard-university,logo/032bd1b77.png,1,United States,us,1,100,100,96.8,100,100,100,84.3
Stanford University,stanford-university,logo/13de8913b.png,2,United States,us,2,76.8,45,91.2,75.5,82.1,75,58.2
Massachusetts Institute of Technology (MIT),massachusetts-institute-of-technology-mit,logo/79165fd8b.png,3,United States,us,3,70.1,72.8,84.8,54.7,69.7,60.7,73.3
University of Cambridge,university-of-cambridge,logo/8d9861b69.png,4,United Kingdom,gb,1,69.6,78.8,94.9,44.8,59.3,71.5,60.5
University of California - Berkeley,university-of-california-berkeley,logo/0ff179fb8.png,5,United States,us,4,65.3,65.4,80,53.8,63.9,60.2,57.3
Princeton University,princeton-university,logo/b1dad5288.png,6,United States,us,5,60,62.9,100,32.1,49.5,42.9,75.1
University of Oxford,university-of-oxford,logo/c1d967477.png,7,United Kingdom,gb,2,58.7,48,54.5,48.8,56.7,79.4,47.3
Columbia University,columbia-university,logo/ce3421720.png,8,United States,us,6,57.2,58.5,63.7,46.9,52.2,71.2,33.1
California Institute of Technology,california-institute-of-technology,logo/c956f3d98.png,9,United States,us,7,56.1,56,66.3,32.8,56.7,40.6,100
University of Chicago,university-of-chicago,logo/b4f6eec47.png,10,United States,us,8,55.1,57.7,86.5,38.7,43.6,49.5,44.8
Yale University,yale-university,logo/5c6f4b7f6.png,11,United States,us,9,53.2,48.3,51.9,47.4,51.3,65.9,38.7
Cornell University,cornell-university,logo/e6c9fdb3e.png,12,United States,us,10,50.4,41.7,46.2,46.4,53.1,57.7,44.4
University of California - Los Angeles,university-of-california-los-angeles,logo/27bdc3879.png,13,United States,us,11,50.2,30.7,47,47.9,48.8,71.3,30.5
Johns Hopkins University,johns-hopkins-university,logo/6a65dac86.png,14,United States,us,12,47.9,37.7,36.2,47.9,40.8,75.3,30.2
