name,code,logo,rank,region,region_code,region_ranking,score,indicator_Alumni,indicator_Award,indicator_HiCi,indicator_N&S,indicator_PUB,indicator_PCP
Harvard University,harvard-university,logo/032bd1b77.png,1,United States,us,1,100,100,100,100,100,100,74.8
Stanford University,stanford-university,logo/13de8913b.png,2,United States,us,2,73.1,39,78.7,87.1,67.3,70.1,66.9
University of California - Berkeley,university-of-california-berkeley,logo/0ff179fb8.png,3,United States,us,3,71,67.4,77.1,68.4,71.1,69,53.2
University of Cambridge,university-of-cambridge,logo/8d9861b69.png,4,United Kingdom,gb,1,70.2,89.4,91.5,53.8,53.9,65.4,65.5
Massachusetts Institute of Technology (MIT),massachusetts-institute-of-technology-mit,logo/79165fd8b.png,5,United States,us,4,69.5,71,80.6,65.7,67.9,62,54.4
California Institute of Technology,california-institute-of-technology,logo/c956f3d98.png,6,United States,us,5,64.8,51.5,69.1,57.1,66.2,47.7,100
Columbia University,columbia-university,logo/ce3421720.png,7,United States,us,6,61.7,70.6,67.7,55.7,49.1,69.6,46.5
Princeton University,princeton-university,logo/b1dad5288.png,8,United States,us,7,60.2,57.8,85.2,61.6,41.5,45.7,61.4
University of Chicago,university-of-chicago,logo/b4f6eec47.png,9,United States,us,8,57,65.8,84.3,49.7,38.6,51.6,41.8
University of Oxford,university-of-oxford,logo/c1d967477.png,10,United Kingdom,gb,2,56.3,57.6,57.9,48.9,49.8,66.1,45.7
Yale University,yale-university,logo/5c6f4b7f6.png,11,United States,us,9,55.2,49.8,43.6,57.6,55.7,62.7,49.5
Cornell University,cornell-university,logo/e6c9fdb3e.png,12,United States,us,10,53.1,40.5,51.3,54.3,51.7,61.2,39.9
University of California - Los Angeles,university-of-california-los-angeles,logo/27bdc3879.png,13,United States,us,11,52.3,23.8,42.8,57.4,50.3,74.5,36.2
University of California - San Diego,university-of-california-san-diego,logo/3ef15c5ab.png,14,United States,us,12,50.7,15.5,35.9,60.3,53.9,65.2,48
University of Pennsylvania,university-of-pennsylvania,logo/9cdff1ab0.png,15,United States,us,13,49.3,30.9,34.4,57.6,44.1,69,39.8
University of Washington,university-of-washington,logo/e37a45f2d.png,16,United States,us,14,48,25,31.8,53.3,48.8,73.7,28.1
University of Wisconsin - Madison,university-of-wisconsin-madison,logo/da433331f.png,17,United States,us,15,46.7,37.5,35.5,52.3,39.8,66.7,28.6
University of California - San Francisco,university-of-california-san-francisco,logo/5d107d88e.png,18,United States,us,16,45.9,0,36.8,53.8,49.7,59.9,46.7
The Johns Hopkins University,johns-hopkins-university,logo/6a65dac86.png,19,United States,us,17,45.2,44.7,27.8,41.7,49.1,67.1,24.9
