name,code,logo,rank,region,region_code,region_ranking,score,indicator_Alumni,indicator_Award,indicator_HiCi,indicator_N&S,indicator_PUB,indicator_PCP
Harvard University,harvard-university,logo/032bd1b77.png,1,United States,us,1,100,100,92.6,100,100,100,86.7
Stanford University,stanford-university,logo/13de8913b.png,2,United States,us,2,74.8,45.6,88.1,73.6,82.8,67.5,58
Massachusetts Institute of Technology (MIT),massachusetts-institute-of-technology-mit,logo/79165fd8b.png,3,United States,us,3,69.1,72.5,81.1,54.7,71.8,55,73.8
University of Cambridge,university-of-cambridge,logo/8d9861b69.png,4,United Kingdom,gb,1,67.9,78.9,90.8,45.1,61,63.6,60.4
University of California - Berkeley,university-of-california-berkeley,logo/0ff179fb8.png,5,United States,us,4,63.4,65.8,76.5,52.6,64.3,53.1,57.3
Princeton University,princeton-university,logo/b1dad5288.png,6,United States,us,5,60.1,61.7,100,32.9,50.4,39.4,76.7
University of Oxford,university-of-oxford,logo/c1d967477.png,7,United Kingdom,gb,2,59.5,49.9,59.7,51.4,57.6,71.4,48.5
Columbia University,columbia-university,logo/ce3421720.png,8,United States,us,6,55.3,58.5,60.9,47,52.3,63.1,32.1
California Institute of Technology,california-institute-of-technology,logo/c956f3d98.png,9,United States,us,7,54.5,56.1,63.4,28.7,57.3,37.6,100
University of Chicago,university-of-chicago,logo/b4f6eec47.png,10,United States,us,8,53.8,56.6,84.5,35.4,42.5,48.6,44.6
Yale University,yale-university,logo/5c6f4b7f6.png,11,United States,us,9,52.2,50.7,49.6,46.1,53.9,59.2,38.8
Cornell University,cornell-university,logo/e6c9fdb3e.png,12,United States,us,10,50.5,40.9,44.2,44.1,55,59,45.4
University of California - Los Angeles,university-of-california-los-angeles,logo/27bdc3879.png,13,United States,us,11,48,30.1,45,44.1,51.7,62.7,29.6
University of Pennsylvania,university-of-pennsylvania,logo/9cdff1ab0.png,14,United States,us,12,47.7,32.3,30.6,52.2,44.7,67,42.2
Paris-Saclay University,paris-saclay-university,logo/98e838fa6.png,15,France,fr,1,47,34.1,70.9,32.9,31.4,60.2,32.4
Johns Hopkins University,johns-hopkins-university,logo/6a65dac86.png,16,United States,us,13,46.8,37,34.6,49.7,39.7,70.1,29.9
University College London,university-college-london,logo/9f3188b58.png,17,United Kingdom,gb,3,45.9,27.2,31.5,46.5,41.1,74,33.3
University of Washington,university-of-washington,logo/e37a45f2d.png,18,United States,us,14,45.4,22.8,34.9,43.6,52.3,65.6,25.8
University of California - San Diego,university-of-california-san-diego,logo/3ef15c5ab.png,19,United States,us,15,44.8,18.1,32.4,53.9,49.3,56.6,32.6
ETH Zurich,eth-zurich,logo/690aaf016.png,20,Switzerland,ch,1,44.1,26.7,42.2,30.2,54,50.1,49.2
University of California - San Francisco,university-of-california-san-francisco,logo/5d107d88e.png,21,United States,us,16,44,0,41.9,45.1,54.9,56.4,31.2
Tsinghua University,tsinghua-university,logo/27532357.png,22,China,cn,1,40.3,9.1,0,55.4,44.1,77.6,28.5
Imperial College London,imperial-college-london,logo/20b72ddaf.png,23,United Kingdom,gb,4,39.9,12.8,31.3,38.4,38.3,60,39.4
University of Toronto,university-of-toronto,logo/760dedb4f.png,24,Canada,ca,1,39.7,16.6,13,40,37.1,77.7,33.4
Washington University in St. Louis,washington-university-in-st-louis,logo/e4356564f.png,25,United States,us,17,39,20.9,27.4,46.1,37.9,49,37.1
University of Michigan-Ann Arbor,university-of-michigan-ann-arbor,logo/5edf88399.png,26,United States,us,18,37.8,37.4,9.8,36,38.5,69.1,23.3
The University of Tokyo,the-university-of-tokyo,logo/68d505f23.png,27,Japan,jp,1,37.7,36.6,23.5,19.7,46.1,63.5,23.6
New York University,new-york-university,logo/d254e1d21.png,28,United States,us,19,37.3,26.7,35.1,32.2,37.7,52.5,21.3
Peking University,peking-university,logo/86350223.png,29,China,cn,2,36.7,10.5,0,36,41.1,81.3,29.6
Northwestern University,northwestern-university,logo/7e0da1019.png,30,United States,us,20,35.8,12.8,25.8,37.2,37,53.6,28.2
University of North Carolina at Chapel Hill,university-of-north-carolina-at-chapel-hill,logo/6f189065b.png,31,United States,us,21,35.7,7.4,21.9,41.6,34.1,55.3,33.6
University of Copenhagen,university-of-copenhagen,logo/ba52788d7.png,32,Denmark,dk,1,35.2,18.9,20.6,28.7,35.9,59.3,34
Zhejiang University,zhejiang-university,logo/88311656.png,33,China,cn,3,35,0,0,34.8,33.8,89.4,24.3
Duke University,duke-university,logo/793d0ba4d.png,34,United States,us,22,34.6,19.6,17.8,36,38,55.4,22.1
The University of Melbourne,the-university-of-melbourne,logo/741caa454.png,35,Australia,au,1,34.5,14.8,11.3,40.6,24.4,67.9,32
University of Wisconsin - Madison,university-of-wisconsin-madison,logo/da433331f.png,35,United States,us,23,34.5,28.2,31.3,26.3,30,54.9,22.1
Karolinska Institute,karolinska-institute,logo/826acd5a2.png,37,Sweden,se,1,34,22.8,23.8,26.3,24.6,52.5,53.5
The University of Edinburgh,the-university-of-edinburgh,logo/ce563e70b.png,38,United Kingdom,gb,5,33.9,25.6,22.6,36,29.1,50.8,26.7
Kyoto University,kyoto-university,logo/ac21f9c26.png,39,Japan,jp,2,33.3,33.9,38.8,18.6,26,50.7,21.5
Rockefeller University,rockefeller-university,logo/22e351bb0.png,39,United States,us,24,33.3,15.7,57.6,23.7,41.9,14,33.2
PSL University,psl-university,logo-jpg/d47a74ad800.jpg,41,France,fr,2,33,50.7,45.1,9.3,20.9,48,23.9
The University of Manchester,the-university-of-manchester,logo/ef5cc8934.png,41,United Kingdom,gb,6,33,14.8,29.1,28.7,28.9,52.3,28.3
The University of Texas at Austin,the-university-of-texas-at-austin,logo/203d8cd87.png,43,United States,us,25,32.8,23.4,21.6,34.8,27.1,50.4,27.7
University of British Columbia,university-of-british-columbia,logo/38ff70adf.png,44,Canada,ca,2,32.7,13.8,17.2,32.9,28.9,61,23.8
University of Minnesota - Twin Cities,university-of-minnesota-twin-cities,logo/7f9e67da9.png,44,United States,us,26,32.7,26.2,15,36.6,26.4,56.6,22.3
Shanghai Jiao Tong University,shanghai-jiao-tong-university,logo/27403919.png,46,China,cn,4,32.6,0,0,30.2,27.1,87.8,26.4
Sorbonne University,sorbonne-university,logo/f900e4997.png,46,France,fr,3,32.6,36.4,23.3,18.6,29.2,56.2,26.1
The University of Texas Southwestern Medical Center at Dallas,the-university-of-texas-southwestern-medical-center-at-dallas,logo/8ab040a7d.png,48,United States,us,27,32.4,17.4,31.4,31.6,36.6,35.8,26.6
University of Geneva,university-of-geneva,logo/7cd1dc0d1.png,49,Switzerland,ch,2,31.8,37.7,37.3,13.2,26.5,40,37.9
University of Maryland - College Park,university-of-maryland-college-park,logo/0eeb3a1e0.png,50,United States,us,28,31.7,17.4,18.4,31.6,34.3,45.4,31.3
The University of Queensland,the-university-of-queensland,logo/9d6b97a7c.png,51,Australia,au,2,31.5,11.7,0,44.6,24.9,59.9,36.1
University of Illinois at Urbana-Champaign,university-of-illinois-at-urbana-champaign,logo/49df86f43.png,52,United States,us,29,31.4,25.6,33,17.4,29.6,47.2,25.2
Utrecht University,utrecht-university,logo/5063041ca.png,52,Netherlands,nl,1,31.4,20.9,17.2,34.8,22.6,53.7,27.6
Swiss Federal Institute of Technology Lausanne,swiss-federal-institute-of-technology-lausanne,logo/1946ead7f.png,54,Switzerland,ch,3,31.3,0,29.1,25.5,36.4,36.2,49.7
Heidelberg University,heidelberg-university,logo/c1b74c074.png,55,Germany,de,1,31.2,18.1,21.1,24.6,33.2,49,29.6
Fudan University,fudan-university,logo/28312850.png,56,China,cn,5,31.1,0,0,34.2,31,73.1,26.1
University of Colorado at Boulder,university-of-colorado-at-boulder,logo/41aff2fed.png,57,United States,us,30,31,11.7,31.4,24.6,32.1,40.9,31.7
University of Southern California,university-of-southern-california,logo/f94b07167.png,58,United States,us,31,30.8,0,29.1,32.9,25.3,50,25.1
King's College London,kings-college-london,logo/7c3673100.png,59,United Kingdom,gb,7,30.7,23.4,16.8,34.8,18.8,53,27.9
Technical University of Munich,technical-university-of-munich,logo/3d748c924.png,59,Germany,de,2,30.7,34.3,17.2,21.8,27.9,50.2,29.4
University of Munich,university-of-munich,logo/6d76dd8bd.png,59,Germany,de,2,30.7,25.1,15,24.6,31.5,51,29.6
University of Zurich,university-of-zurich,logo/897c2afe4.png,59,Switzerland,ch,4,30.7,0,20.6,26.3,32.9,51.1,36.6
University of California - Santa Barbara,university-of-california-santa-barbara,logo-jpg/63f81166100.jpg,63,United States,us,32,30.2,13.8,36,20.8,34.4,30.9,35.4
University of Science and Technology of China,university-of-science-and-technology-of-china,logo/50132214.png,64,China,cn,6,30.1,0,0,33.5,32.1,66.2,29.1
University of California - Irvine,university-of-california-irvine,logo/b1df85949.png,65,United States,us,33,29.8,14.8,26.9,28.7,25.9,43.1,25.4
Vanderbilt University,vanderbilt-university,logo/bb01ff238.png,66,United States,us,34,29.4,13.8,26.1,27.9,18.6,46.8,33.1
University of Bonn,university-of-bonn,logo/68c81f6c8.png,67,Germany,de,4,29.3,30.5,33,21.8,20.9,38.1,26.9
Weizmann Institute of Science,weizmann-institute-of-science,logo/f5dfa93ce.png,68,Israel,il,1,29.2,16.6,15,34.2,39.2,22.7,45.3
Université Paris Cité,university-of-paris,logo-jpg/a37a44c0a00.jpg,69,France,fr,4,29.1,14,10.1,30.2,27.1,55.4,23.5
McGill University,mcgill-university,logo/88d833c3e.png,70,Canada,ca,3,28.9,30.1,0,28.7,29.1,54.4,26.7
National University of Singapore,national-university-of-singapore,logo/31943e0cb.png,71,Singapore,sg,1,28.8,0,0,39.5,23.4,60.8,32.8
The University of New South Wales,the-university-of-new-south-wales,logo/269ebda14.png,72,Australia,au,3,28.6,0,0,37.8,24.7,60.6,32.1
Sun Yat-sen University,sun-yat-sen-university,logo/46293852.png,73,China,cn,7,28.3,0,0,29.4,17.6,78.3,24.1
University of Oslo,university-of-oslo,logo/2d1aa99b3.png,73,Norway,no,1,28.3,25.1,29.1,17.4,15.9,48.8,28.1
University of Sydney,university-of-sydney,logo/6f7db18c8.png,73,Australia,au,4,28.3,12.8,0,32.9,19.1,64.1,29.6
University of Groningen,university-of-groningen,logo/cb5787d1f.png,76,Netherlands,nl,2,28.1,12.8,22.6,22.8,19.7,51.1,27.6
Monash University,monash-university,logo/6d8339a6f.png,77,Australia,au,5,28,0,0,30.2,26.4,63.6,32.1
Aarhus University,aarhus-university,logo/0ec23abb4.png,78,Denmark,dk,2,27.6,10.5,20.3,22.8,22.1,50.3,27.3
Technion-Israel Institute of Technology,technion-israel-institute-of-technology,logo/547232002.png,79,Israel,il,2,27.4,22.2,34.9,13.2,22.8,31.4,39.4
The University of Texas M. D. Anderson Cancer Center,the-university-of-texas-m-d-anderson-cancer-center,logo/1100fcdc8.png,80,United States,us,35,26.9,0,13.8,36.6,20,34,53.1
University of Basel,university-of-basel,logo/4b95c2a51.png,81,Switzerland,ch,5,26.8,21.6,14.1,17.4,31.1,37.1,39.2
Uppsala University,uppsala-university,logo/8e0a7d1d4.png,82,Sweden,se,2,26.6,20.3,20.6,17.4,21.7,46.1,26.5
University of Pittsburgh,university-of-pittsburgh,logo/bfcc56ad8.png,83,United States,us,36,26.5,16.6,0,32.2,25,53.9,18.4
Ghent University,ghent-university,logo/a05682830.png,84,Belgium,be,1,26.4,0,9.2,32.9,18.6,51.4,32.7
The Australian National University,the-australian-national-university,logo/e6233a5b3.png,84,Australia,au,6,26.4,12.8,17.4,22.8,25.1,41.1,30.8
KU Leuven,ku-leuven,logo/666263d88.png,86,Belgium,be,2,26.2,0,0,30.2,26.6,55.1,31.1
The Hebrew University of Jerusalem,the-hebrew-university-of-jerusalem,logo/ee11c32f8.png,86,Israel,il,3,26.2,30.1,26.1,11.4,20.7,39.6,29.4
Erasmus University Rotterdam,erasmus-university-rotterdam,logo/7dc2ef049.png,88,Netherlands,nl,3,26.1,13.8,13,27.9,14.9,48,32.3
The University of Hong Kong,the-university-of-hong-kong,logo/cbf530ad3.png,88,China-Hong Kong,hk,1,26.1,0,0,41.1,21.6,51,26.7
University of Bristol,university-of-bristol,logo/73d83b1e4.png,88,United Kingdom,gb,8,26.1,5.2,13,27.1,28.2,42.1,27.1
Huazhong University of Science and Technology,huazhong-university-of-science-and-technology,logo/69664504.png,91,China,cn,8,26,0,0,24.6,17.9,72.8,21.6
University of Alberta,university-of-alberta,logo/f1242c7ae.png,91,Canada,ca,4,26,10.5,16,23.7,16.3,52,26.4
Nanyang Technological University,nanyang-technological-university,logo/f3d48b4a3.png,93,Singapore,sg,2,25.9,0,0,42.1,20.5,48.5,29.1
Seoul National University,seoul-national-university,logo/4d302fc4e.png,94,South Korea,kr,1,25.8,15.7,0,19.7,22.8,62.6,24.6
Central South University,central-south-university,logo/65984093.png,95,China,cn,9,25.3,0,0,27.1,10.1,74.1,23
Nanjing University,nanjing-university,logo/44696062.png,96,China,cn,10,25.2,0,0,25.5,24.3,60.5,24.9
Purdue University - West Lafayette,purdue-university-west-lafayette,logo/2ef5fbfcc.png,96,United States,us,37,25.2,11.7,20.9,17.4,21.7,45.5,22.7
Brown University,brown-university,logo/3d8b527ff.png,98,United States,us,38,25.1,24,18.2,13.2,20.9,41.2,33.1
McMaster University,mcmaster-university,logo/0f693978a.png,98,Canada,ca,5,25.1,18.1,17.2,27.1,11.3,41.9,30.3
Stockholm University,stockholm-university,logo/bd0e71ccb.png,98,Sweden,se,3,25.1,20.9,22.6,16.1,22.3,38,25.6
