name,code,logo,rank,region,region_code,region_ranking,score,indicator_Alumni,indicator_Award,indicator_HiCi,indicator_N&S,indicator_PUB,indicator_PCP
Harvard University,harvard-university,logo/032bd1b77.png,1,United States,us,1,100,100,100,100,100,100,72.4
University of Cambridge,university-of-cambridge,logo/8d9861b69.png,2,United Kingdom,gb,1,73.6,99.8,93.4,53.3,56.6,70.9,66.9
Stanford University,stanford-university,logo/13de8913b.png,3,United States,us,2,73.4,41.1,72.2,88.5,70.9,72.3,65
University of California - Berkeley,university-of-california-berkeley,logo/0ff179fb8.png,4,United States,us,3,72.8,71.8,76,69.4,73.9,72.2,52.7
Massachusetts Institute of Technology (MIT),massachusetts-institute-of-technology-mit,logo/79165fd8b.png,5,United States,us,4,70.1,74,80.6,66.7,65.8,64.3,53
California Institute of Technology,california-institute-of-technology,logo/c956f3d98.png,6,United States,us,5,67.1,59.2,68.6,59.8,65.8,52.5,100
Columbia University,columbia-university,logo/ce3421720.png,7,United States,us,6,62.3,79.4,60.6,56.1,54.2,69.5,45.4
Princeton University,princeton-university,logo/b1dad5288.png,8,United States,us,7,60.9,63.4,76.8,60.9,48.7,48.5,59.1
University of Chicago,university-of-chicago,logo/b4f6eec47.png,9,United States,us,8,60.1,75.6,81.9,50.3,44.7,56.4,42.2
University of Oxford,university-of-oxford,logo/c1d967477.png,10,United Kingdom,gb,2,59.7,64.3,59.1,48.4,55.6,68.4,53.2
Yale University,yale-university,logo/5c6f4b7f6.png,11,United States,us,9,56.9,52.1,44.5,60.3,57.2,63.9,49.3
Cornell University,cornell-university,logo/e6c9fdb3e.png,12,United States,us,10,54.6,46.5,52.4,55,48.8,66.3,39.8
University of California - San Diego,university-of-california-san-diego,logo/3ef15c5ab.png,13,United States,us,11,51,17.7,34.7,59.8,56.5,64.5,46.6
University of California - Los Angeles,university-of-california-los-angeles,logo/27bdc3879.png,14,United States,us,12,50.6,27.3,32.8,56.7,50.1,75.6,34.3
University of Pennsylvania,university-of-pennsylvania,logo/9cdff1ab0.png,15,United States,us,13,50.2,35.5,35.1,56.7,42.9,71.8,39.1
University of Wisconsin - Madison,university-of-wisconsin-madison,logo/da433331f.png,16,United States,us,14,49.2,43,36.3,52.1,46.3,68.7,29
University of Washington,university-of-washington,logo/e37a45f2d.png,17,United States,us,15,48.4,28.8,32.4,53.9,47.1,73.8,27.2
University of California - San Francisco,university-of-california-san-francisco,logo/5d107d88e.png,18,United States,us,16,47.8,0,37.6,55.6,57.9,58.8,45.2
The Johns Hopkins University,johns-hopkins-university,logo/6a65dac86.png,19,United States,us,17,46.9,51.4,28.3,41.6,52.2,67.7,24.9
The University of Tokyo,the-university-of-tokyo,logo/68d505f23.png,20,Japan,jp,1,46.7,36,14.4,38.5,52.1,86.5,34.7
University of Michigan - Ann Arbor,university-of-michigan-ann-arbor,logo/5edf88399.png,21,United States,us,18,44.9,43,0,61.9,43,76.5,30.9
Kyoto University,kyoto-university,logo/ac21f9c26.png,22,Japan,jp,2,43.8,39.7,34.1,34.2,37,72.3,31.1
The Imperial College of Science,imperial-college-london,logo/20b72ddaf.png,23,United Kingdom,gb,3,43.7,20.8,38.1,40.8,38.2,64.6,40.3
University of Toronto,university-of-toronto,logo/760dedb4f.png,24,Canada,ca,1,43.1,28.1,19.7,39.3,38.9,76.7,41.9
University of Illinois at Urbana-Champaign,university-of-illinois-at-urbana-champaign,logo/49df86f43.png,25,United States,us,19,42.8,41.6,37.4,44.4,34.1,58,26
University College London,university-college-london,logo/9f3188b58.png,26,United Kingdom,gb,4,42.6,30.7,32.9,37.7,41.5,60.5,38.8
Swiss Federal Institute of Technology Zurich,eth-zurich,logo/690aaf016.png,27,Switzerland,ch,1,41.7,40.2,37,35.1,41.1,43.4,52.4
Washington University in St. Louis,washington-university-in-st-louis,logo/e4356564f.png,28,United States,us,20,40.7,25.1,26.6,38.5,46.5,53.9,39.9
New York University,new-york-university,logo/d254e1d21.png,29,United States,us,21,38.8,33.8,25,43,35.3,55.4,26.3
Rockefeller University,rockefeller-university,logo/22e351bb0.png,30,United States,us,22,38.2,22.6,59.8,28.3,44.1,24,35.9
Northwestern University,northwestern-university,logo/7e0da1019.png,31,United States,us,23,37.9,21.7,19.3,44.4,33.8,57.6,36.2
Duke University,duke-university,logo/793d0ba4d.png,32,United States,us,24-25,37.7,20.8,0,47.1,45.3,60.8,38.9
University of Minnesota,university-of-minnesota-twin-cities,logo/7f9e67da9.png,32,United States,us,24-25,37.7,36,0,49.7,35.2,68.4,23.8
University of California - Santa Barbara,university-of-california-santa-barbara,logo-jpg/63f81166100.jpg,34,United States,us,26,36.9,0,36,42.3,39,44.1,35.8
University of Colorado at Boulder,university-of-colorado-at-boulder,logo/41aff2fed.png,35,United States,us,27,36.3,16.6,29.8,40.8,36.6,46.3,29.5
The University of Texas at Austin,the-university-of-texas-at-austin,logo/203d8cd87.png,36,United States,us,28,35.5,21.7,17.1,49.1,30,54.8,21.7
University of British Columbia,university-of-british-columbia,logo/38ff70adf.png,37,Canada,ca,2,35.4,20.8,19.3,32.4,32.5,60.4,33.9
The University of Texas Southwestern Medical Center at Dallas,the-university-of-texas-southwestern-medical-center-at-dallas,logo/8ab040a7d.png,38,United States,us,29,34.8,24.3,33.9,31.4,38.2,37.9,31
Pennsylvania State University - University Park,pennsylvania-state-university-university-park,logo/1069b7da2.png,39,United States,us,30-31,33.4,14,0,45.8,37.9,59.9,24
Vanderbilt University,vanderbilt-university,logo/bb01ff238.png,39,United States,us,30-31,33.4,12.5,30.2,34.2,24.5,49.2,35.6
University of California - Davis,university-of-california-davis,logo/59eef6399.png,41,United States,us,32,32.9,0,0,46.5,34.5,64,29.8
Utrecht University,utrecht-university,logo/5063041ca.png,41,Netherlands,nl,1,32.9,30.7,21.4,27.2,27.3,55.7,25.9
Rutgers,rutgers-the-state-university-of-new-jersey-new-brunswick,logo/c01c983b9.png,43,United States,us,33-34,32.3,15.4,20.4,36.9,32.9,47.1,24.1
University of Pittsburgh,university-of-pittsburgh,logo/bfcc56ad8.png,43,United States,us,33-34,32.3,25.1,0,40.1,25.9,64.3,28.2
Karolinska Institute,karolinska-institute,logo/826acd5a2.png,45,Sweden,se,1,32.1,30.7,27.8,33.3,19.7,47.3,25.1
Pierre and Marie Curie University - Paris 6,pierre-and-marie-curie-university-paris-6,logo/438b4206b.png,46,France,fr,1,32,35.7,23.9,23.6,24.2,51.2,30
The University of Edinburgh,the-university-of-edinburgh,logo/ce563e70b.png,47,United Kingdom,gb,5,31.8,22.6,17.1,26.1,35.8,49.4,29.9
University of California - Irvine,university-of-california-irvine,logo/b1df85949.png,47,United States,us,35-36,31.8,0,30,32.4,28.5,48.2,31.1
University of Maryland - College Park,university-of-maryland-college-park,logo/0eeb3a1e0.png,47,United States,us,35-36,31.8,25.9,0,40.8,33.6,54.6,25.6
University of Southern California,university-of-southern-california,logo/f94b07167.png,50,United States,us,37,31.7,0,27.3,37.7,23.6,52.8,25.8
University of Munich,university-of-munich,logo/6d76dd8bd.png,51,Germany,de,1,31.4,37.1,21.1,15.7,30.4,51.9,30
Technical University Munich,technical-university-of-munich,logo/3d748c924.png,52,Germany,de,2,31.3,43,24.1,24.8,20.7,46.5,29.2
The University of Manchester,the-university-of-manchester,logo/ef5cc8934.png,53,United Kingdom,gb,6,31.2,27.3,19.3,23.6,22.6,57.3,30.4
Carnegie Mellon University,carnegie-mellon-university,logo/e1f857b46.png,54,United States,us,38,30.8,30.7,33.5,32.4,14.7,38.3,31.4
University of North Carolina at Chapel Hill,university-of-north-carolina-at-chapel-hill,logo/6f189065b.png,55,United States,us,39,30.3,12.5,0,35.1,32.8,59.5,27.3
The Australian National University,the-australian-national-university,logo/e6233a5b3.png,56,Australia,au,1,30.2,17.7,12.9,36.9,29,45.1,27.8
University of Copenhagen,university-of-copenhagen,logo/ba52788d7.png,57,Denmark,dk,1,30,30.7,24.7,23.6,22.8,45.7,27.7
University of Florida,university-of-florida,logo/a1fc569d1.png,57,United States,us,40,30,15.4,0,35.1,25,65.2,25.8
University of Zurich,university-of-zurich,logo/897c2afe4.png,57,Switzerland,ch,2,30,12.5,27.3,19.2,30.3,47.2,30.6
