name,code,logo,rank,region,region_code,region_ranking,score,indicator_Alumni,indicator_Award,indicator_HiCi,indicator_N&S,indicator_PUB,indicator_PCP
Harvard University,harvard-university,logo/032bd1b77.png,1,United States,us,1,100,100,100,100,100,100,79.2
Stanford University,stanford-university,logo/13de8913b.png,2,United States,us,2,74.7,42.9,89.6,80.1,73.6,73.1,55.8
University of California - Berkeley,university-of-california-berkeley,logo/0ff179fb8.png,3,United States,us,3,70.1,65.1,79.4,64.9,68.7,68.4,59
University of Cambridge,university-of-cambridge,logo/8d9861b69.png,4,United Kingdom,gb,1,69.6,78.3,96.6,51.3,56.7,67.8,58.5
Massachusetts Institute of Technology (MIT),massachusetts-institute-of-technology-mit,logo/79165fd8b.png,5,United States,us,4,69.2,69.4,80.7,55.3,71.7,61.7,69.7
Princeton University,princeton-university,logo/b1dad5288.png,6,United States,us,5,62,53.3,98,51.3,47.2,42.9,74.4
University of Oxford,university-of-oxford,logo/c1d967477.png,7,United Kingdom,gb,2,58.9,49.7,54.9,56.2,55,74.5,46.1
California Institute of Technology,california-institute-of-technology,logo/c956f3d98.png,8,United States,us,6,57.8,51,66.7,39.7,57.3,43.6,100
Columbia University,columbia-university,logo/ce3421720.png,9,United States,us,7,56.7,63.5,65.9,41,53.3,68.9,33.3
University of Chicago,university-of-chicago,logo/b4f6eec47.png,10,United States,us,8,54.2,59.8,86.3,34,42.7,50.2,44.5
Yale University,yale-university,logo/5c6f4b7f6.png,11,United States,us,9,52.8,47.6,50.4,44.7,58.4,62.6,37.1
University of California - Los Angeles,university-of-california-los-angeles,logo/27bdc3879.png,12,United States,us,10,51.5,29.5,47.1,58,44.5,71.4,33.4
Cornell University,cornell-university,logo/e6c9fdb3e.png,13,United States,us,11,49,42,49.8,41,47,60.5,40.9
University of California - San Diego,university-of-california-san-diego,logo/3ef15c5ab.png,14,United States,us,12,47.8,19.2,35.5,49.2,57.8,63.5,37
University of Washington,university-of-washington,logo/e37a45f2d.png,15,United States,us,13,47.3,21.2,31.6,49.2,52.1,72.6,31
Johns Hopkins University,johns-hopkins-university,logo/6a65dac86.png,16,United States,us,14,46,37.7,33.6,38.4,47,71.9,31.1
University College London,university-college-london,logo/9f3188b58.png,17,United Kingdom,gb,3,45.3,28.1,36.2,39.7,41.6,73.9,32.2
