name,code,logo,rank,region,region_code,region_ranking,score,indicator_Alumni,indicator_Award,indicator_HiCi,indicator_N&S,indicator_PUB,indicator_PCP
Harvard University,harvard-university,logo/032bd1b77.png,1,United States,us,1,100,98.6,100,100,100,100,60.6
Stanford University,stanford-university,logo/13de8913b.png,2,United States,us,2,77.2,41.2,72.2,96.1,75.2,72.3,68.1
University of Cambridge,university-of-cambridge,logo/8d9861b69.png,3,United Kingdom,gb,1,76.2,100,93.4,56.6,58.5,70.2,73.2
University of California - Berkeley,university-of-california-berkeley,logo/0ff179fb8.png,4,United States,us,3,74.2,70,76,74.1,75.6,72.7,45.1
Massachusetts Institute of Technology (MIT),massachusetts-institute-of-technology-mit,logo/79165fd8b.png,5,United States,us,4,72.4,74.1,78.9,73.6,69.1,64.6,47.5
California Institute of Technology,california-institute-of-technology,logo/c956f3d98.png,6,United States,us,5,69,59.3,66.5,64.8,66.7,53.2,100
Princeton University,princeton-university,logo/b1dad5288.png,7,United States,us,6,63.6,61,76.8,65.4,52.1,46.8,67.3
University of Oxford,university-of-oxford,logo/c1d967477.png,8,United Kingdom,gb,2,61.4,64.4,59.1,53.1,55.3,65.2,59
Columbia University,columbia-university,logo/ce3421720.png,9,United States,us,7,61.2,77.8,58.8,57.3,51.6,68.3,37
University of Chicago,university-of-chicago,logo/b4f6eec47.png,10,United States,us,8,60.5,72.2,81.9,55.3,46.6,54.1,32.7
Yale University,yale-university,logo/5c6f4b7f6.png,11,United States,us,9,58.6,52.2,44.5,63.6,58.1,63.6,50.4
Cornell University,cornell-university,logo/e6c9fdb3e.png,12,United States,us,10,55.5,46.6,52.4,60.5,47.2,66.2,33.6
University of California - San Diego,university-of-california-san-diego,logo/3ef15c5ab.png,13,United States,us,11,53.8,17.8,34.7,63.6,59.4,67.2,47.9
The University of Tokyo,the-university-of-tokyo,logo/68d505f23.png,14,Japan,jp,1,51.9,36.1,14.4,44.5,55,91.9,49.8
University of Pennsylvania,university-of-pennsylvania,logo/9cdff1ab0.png,15,United States,us,12,51.8,35.6,35.1,61.2,44.6,72.6,34
