name,code,logo,rank,region,region_code,region_ranking,score,indicator_Alumni,indicator_Award,indicator_HiCi,indicator_N&S,indicator_PUB,indicator_PCP
Harvard University,harvard-university,logo/032bd1b77.png,1,United States,us,1,100,100,100,100,100,100,79.6
Stanford University,stanford-university,logo/13de8913b.png,2,United States,us,2,75.6,44.5,88.5,76.6,78.6,76.5,56
University of Cambridge,university-of-cambridge,logo/8d9861b69.png,3,United Kingdom,gb,1,71.8,82.3,95.4,56.7,57.6,70.9,59.5
Massachusetts Institute of Technology (MIT),massachusetts-institute-of-technology-mit,logo/79165fd8b.png,4,United States,us,3,69.9,70.9,83.6,52.5,71.4,64.4,70.3
University of California - Berkeley,university-of-california-berkeley,logo/0ff179fb8.png,5,United States,us,4,68.3,65.6,78.4,61.3,67.8,65.1,58.2
Princeton University,princeton-university,logo/b1dad5288.png,6,United States,us,5,61,55.8,97.9,44.9,47.1,44.2,73.3
University of Oxford,university-of-oxford,logo/c1d967477.png,7,United Kingdom,gb,2,60,50.8,54.2,61.3,52.6,77.1,46.8
Columbia University,columbia-university,logo/ce3421720.png,8,United States,us,6,58.2,62.8,67.2,41.8,56.4,71.5,33.7
California Institute of Technology,california-institute-of-technology,logo/c956f3d98.png,9,United States,us,7,57.4,53.5,67.5,34.5,57.6,45,100
University of Chicago,university-of-chicago,logo/b4f6eec47.png,10,United States,us,8,55.5,59.2,90.1,35.8,42.5,52,44.2
University of California - Los Angeles,university-of-california-los-angeles,logo/27bdc3879.png,11,United States,us,9,51.2,29.2,46.4,55.9,44.9,73.1,32.1
Cornell University,cornell-university,logo/e6c9fdb3e.png,12,United States,us,10-11,50.7,43.1,49.1,46.9,47.3,61.6,43.4
Yale University,yale-university,logo/5c6f4b7f6.png,12,United States,us,10-11,50.7,47.1,49.7,44.9,53.4,58.7,35.7
University of Washington,university-of-washington,logo/e37a45f2d.png,14,United States,us,12,50,24.9,37.4,54.2,49.1,75.9,31.4
University of California - San Diego,university-of-california-san-diego,logo/3ef15c5ab.png,15,United States,us,13,47.8,19,35.1,53.3,53,65.4,35.9
University of Pennsylvania,university-of-pennsylvania,logo/9cdff1ab0.png,16,United States,us,14,46.4,31.3,33.4,46.9,41.7,69.7,39.7
University College London,university-college-london,logo/9f3188b58.png,17,United Kingdom,gb,3,46.1,27.8,35.8,41.8,39,78.8,32.6
Johns Hopkins University,johns-hopkins-university,logo/6a65dac86.png,18,United States,us,15,45.4,37.3,33.2,37.1,43.4,75.7,28.7
Swiss Federal Institute of Technology Zurich,eth-zurich,logo/690aaf016.png,19,Switzerland,ch,1,43.9,29.2,35.1,33.2,49.9,58.7,47.5
Washington University in St. Louis,washington-university-in-st-louis,logo/e4356564f.png,20,United States,us,16,42.1,22.7,24.6,55,42.3,53.8,38.6
University of California - San Francisco,university-of-california-san-francisco,logo/5d107d88e.png,21,United States,us,17,41.9,0,39.4,35.8,50.9,63.2,32
The University of Tokyo,the-university-of-tokyo,logo/68d505f23.png,22,Japan,jp,1,41.5,38.3,25,25.3,46,72.8,29.8
University of Toronto,university-of-toronto,logo/760dedb4f.png,23,Canada,ca,1,40.9,19.7,17,35.8,38.9,83.1,31.7
Imperial College London,imperial-college-london,logo/20b72ddaf.png,24,United Kingdom,gb,4,40.1,14.4,35.4,35.8,31,67.7,39.1
Northwestern University,northwestern-university,logo/7e0da1019.png,25,United States,us,18,39.9,15.2,27.6,48.8,33.3,62.2,31.7
Duke University,duke-university,logo/793d0ba4d.png,26,United States,us,19,39.7,15.2,19,55.9,35.6,63.9,25.5
University of Michigan-Ann Arbor,university-of-michigan-ann-arbor,logo/5edf88399.png,27,United States,us,20,39.4,34.1,0,41.8,41,80.8,25
University of Wisconsin - Madison,university-of-wisconsin-madison,logo/da433331f.png,28,United States,us,21,38.9,32.5,34.3,30.3,32.3,65,24.3
University of Copenhagen,university-of-copenhagen,logo/ba52788d7.png,29,Denmark,dk,1,38.7,21.5,18.6,33.2,37.6,67.8,42.9
Rockefeller University,rockefeller-university,logo/22e351bb0.png,30,United States,us,22-23,37.9,16.8,61.4,33.2,42.4,19.5,41.5
University of North Carolina at Chapel Hill,university-of-north-carolina-at-chapel-hill,logo/6f189065b.png,30,United States,us,22-23,37.9,8.8,23.4,45.9,30.2,64.7,34.4
New York University,new-york-university,logo/d254e1d21.png,32,United States,us,24,37.2,29.6,31.5,25.3,39.5,60.6,20.8
The University of Edinburgh,the-university-of-edinburgh,logo/ce563e70b.png,32,United Kingdom,gb,5,37.2,27.3,24.6,42.8,30.9,55.9,28.7
The University of Manchester,the-university-of-manchester,logo/ef5cc8934.png,34,United Kingdom,gb,6,37,18.3,32.2,34.5,30.9,60,28.9
Kyoto University,kyoto-university,logo/ac21f9c26.png,35,Japan,jp,2,36.4,31.3,36.7,21.4,31.7,60.8,23.9
Sorbonne University,sorbonne-university,logo/f900e4997.png,36,France,fr,1,36.1,33.3,27.1,25.3,29.9,64.7,26.2
University of Minnesota - Twin Cities,university-of-minnesota-twin-cities,logo/7f9e67da9.png,37,United States,us,25,35.9,29.2,16.1,34.5,31.2,67.5,23.7
The University of Melbourne,the-university-of-melbourne,logo/741caa454.png,38,Australia,au,1,35.7,16.8,13.1,42.8,21.4,72.3,33.6
University of Colorado at Boulder,university-of-colorado-at-boulder,logo/41aff2fed.png,38,United States,us,26,35.7,12.4,33.6,31.8,37.4,48.5,35
The University of Texas at Austin,the-university-of-texas-at-austin,logo/203d8cd87.png,40,United States,us,27,35.6,20.9,16.1,38.3,36.4,58.6,29.2
