name,code,logo,rank,region,region_code,region_ranking,score,indicator_Alumni,indicator_Award,indicator_HiCi,indicator_N&S,indicator_PUB,indicator_PCP
Harvard University,harvard-university,logo/032bd1b77.png,1,United States,us,1,100,100,100,100,100,100,71.1
Stanford University,stanford-university,logo/13de8913b.png,2,United States,us,2,72.8,38,79.7,88.9,71.6,69.6,49.2
Massachusetts Institute of Technology (MIT),massachusetts-institute-of-technology-mit,logo/79165fd8b.png,3,United States,us,3,71.8,69,83.2,68.2,69.2,61.6,64.1
University of California - Berkeley,university-of-california-berkeley,logo/0ff179fb8.png,4,United States,us,4,71.6,67.5,80.9,69.7,68.5,68.1,53.4
University of Cambridge,university-of-cambridge,logo/8d9861b69.png,5,United Kingdom,gb,1,69.8,80.3,97.2,54.6,55,65.9,52.1
California Institute of Technology,california-institute-of-technology,logo/c956f3d98.png,6,United States,us,5,64.1,48.5,68.8,57.4,64.8,46.2,100
Princeton University,princeton-university,logo/b1dad5288.png,7,United States,us,6,62.1,52.3,91.3,62.2,44.4,44.5,66.3
Columbia University,columbia-university,logo/ce3421720.png,8,United States,us,7,60.1,64.2,68,57.4,51.2,67.8,31
University of Chicago,university-of-chicago,logo/b4f6eec47.png,9,United States,us,8,57.2,61.8,85.3,52.2,40.6,49.2,38.9
University of Oxford,university-of-oxford,logo/c1d967477.png,10,United Kingdom,gb,2,56.1,51.2,56.6,48.9,52.1,68.9,40.3
Yale University,yale-university,logo/5c6f4b7f6.png,11,United States,us,9,54.8,45.7,45.5,59.7,58,62.3,35.9
University of California - Los Angeles,university-of-california-los-angeles,logo/27bdc3879.png,12,United States,us,10,52.2,27.7,43.4,57.7,51.5,72.2,30.1
Cornell University,cornell-university,logo/e6c9fdb3e.png,13,United States,us,11,50.8,38.7,51.3,54.9,47,55.5,37.2
University of Pennsylvania,university-of-pennsylvania,logo/9cdff1ab0.png,14,United States,us,12,50.5,33.4,34.9,57.9,49.3,67.9,37
University of California - San Diego,university-of-california-san-diego,logo/3ef15c5ab.png,15,United States,us,13,49.6,20.3,36.6,60.3,52.8,64,34.1
University of Washington,university-of-washington,logo/e37a45f2d.png,16,United States,us,14,48.4,22.4,32.5,55.1,51.2,71.3,27.2
The Johns Hopkins University,johns-hopkins-university,logo/6a65dac86.png,17,United States,us,15,47.4,39.9,34.6,42.2,49.9,69.5,28.3
University of California - San Francisco,university-of-california-san-francisco,logo/5d107d88e.png,18,United States,us,16,46.6,0,41.2,53.7,54.1,60.6,33.1
University of Wisconsin - Madison,university-of-wisconsin-madison,logo/da433331f.png,19,United States,us,17,45.4,32.5,35.9,52.1,39.8,64.2,24.7
The University of Tokyo,the-university-of-tokyo,logo/68d505f23.png,20,Japan,jp,1,43.8,32.5,14.6,42.5,52,73.7,27.7
University College London,university-college-london,logo/9f3188b58.png,21,United Kingdom,gb,3,43.7,29.7,30.4,39.6,44.6,67.1,30.8
University of Michigan - Ann Arbor,university-of-michigan-ann-arbor,logo/5edf88399.png,22,United States,us,18,43.4,33.9,0,60.5,44.6,76.2,24.8
Swiss Federal Institute of Technology Zurich,eth-zurich,logo/690aaf016.png,23,Switzerland,ch,1,43.3,31.2,36.6,36.7,44.6,53.9,45.6
The Imperial College of Science,imperial-college-london,logo/20b72ddaf.png,24,United Kingdom,gb,4,42.4,15.3,36.9,41.6,39.6,62.5,35.6
University of Illinois at Urbana-Champaign,university-of-illinois-at-urbana-champaign,logo/49df86f43.png,25,United States,us,19,41.9,31.6,37.4,43.3,36.9,56.1,27.8
Kyoto University,kyoto-university,logo/ac21f9c26.png,26,Japan,jp,2,41.3,31.2,35.1,38.9,36.4,63,23
New York University,new-york-university,logo/d254e1d21.png,27,United States,us,20,40.8,29.7,32.9,42.2,41,55.7,22.6
University of Toronto,university-of-toronto,logo/760dedb4f.png,27,Canada,ca,1,40.8,21,17.7,39,38.4,79.1,27
University of Minnesota,university-of-minnesota-twin-cities,logo/7f9e67da9.png,29,United States,us,21,39.7,27.7,16.8,51.1,33.5,65,24.9
Northwestern University,northwestern-university,logo/7e0da1019.png,30,United States,us,22,38.8,16.3,22.8,48.5,37.9,58.1,26.4
Washington University in St. Louis,washington-university-in-st-louis,logo/e4356564f.png,31,United States,us,23,37.6,19.6,25.7,39,43.7,52.1,24.7
Rockefeller University,rockefeller-university,logo/22e351bb0.png,32,United States,us,24,37,18,61.6,28.9,41.8,20.2,36
University of Colorado at Boulder,university-of-colorado-at-boulder,logo/41aff2fed.png,33,United States,us,25,36.6,13.3,31.6,39.6,39.9,44.1,31.8
University of California - Santa Barbara,university-of-california-santa-barbara,logo-jpg/63f81166100.jpg,34,United States,us,26,36.5,15.3,36.2,42.7,32.4,40,37
The University of Texas at Austin,the-university-of-texas-at-austin,logo/203d8cd87.png,35,United States,us,27,35.8,17.1,16.8,45.7,34.6,56,24.9
Duke University,duke-university,logo/793d0ba4d.png,36,United States,us,28,35.2,16.3,0,46.5,42.1,62.7,22.3
University of Paris Sud (Paris 11),university-of-paris-sud-paris-11,logo/250639a27.png,37,France,fr,1,34.9,32.1,55.9,16.2,20,48.8,25.4
University of Maryland - College Park,university-of-maryland-college-park,logo/0eeb3a1e0.png,38,United States,us,29,34.7,20.3,20.6,41.5,31.9,51.7,25.9
University of British Columbia,university-of-british-columbia,logo/38ff70adf.png,39,Canada,ca,2,34.6,16.3,19.4,32.4,32.6,64.2,22.8
The University of Manchester,the-university-of-manchester,logo/ef5cc8934.png,40,United Kingdom,gb,5,33.9,19.6,33.6,27.7,25.3,56.5,23.7
University of North Carolina at Chapel Hill,university-of-north-carolina-at-chapel-hill,logo/6f189065b.png,41,United States,us,30,33.5,9.4,16.8,39.6,30.8,59.2,22.9
Karolinska Institute,karolinska-institute,logo/826acd5a2.png,42,Sweden,se,1,33.4,23.6,27.4,32.4,23.2,49.5,35.6
Pierre and Marie Curie University - Paris 6,pierre-and-marie-curie-university-paris-6,logo/438b4206b.png,42,France,fr,2,33.4,32.5,19.4,25.1,31,59.9,21.5
University of Copenhagen,university-of-copenhagen,logo/ba52788d7.png,44,Denmark,dk,1,33.1,23,19.4,25.9,29.3,58.6,32.3
University of California - Irvine,university-of-california-irvine,logo/b1df85949.png,45,United States,us,31,32.2,0,30.2,36.9,29.5,46.4,26.6
University of Southern California,university-of-southern-california,logo/f94b07167.png,46,United States,us,32,31.9,0,27.4,39.6,26.3,52.1,19.2
University of California - Davis,university-of-california-davis,logo/59eef6399.png,47,United States,us,33,31.8,0,0,47.3,33.9,60.4,25.3
The University of Texas Southwestern Medical Center at Dallas,the-university-of-texas-southwestern-medical-center-at-dallas,logo/8ab040a7d.png,48,United States,us,34,31.6,19.6,35.5,30.6,29.5,37,21.9
Pennsylvania State University - University Park,pennsylvania-state-university-university-park,logo/1069b7da2.png,49,United States,us,35,31.5,10.8,0,47.1,34.7,54.8,22.1
Vanderbilt University,vanderbilt-university,logo/bb01ff238.png,50,United States,us,36,31.4,16.3,29.9,32.4,21.9,51,18.8
Carnegie Mellon University,carnegie-mellon-university,logo/e1f857b46.png,51,United States,us,37,30.6,33.4,32.5,30.7,16.7,35.1,33.4
The University of Edinburgh,the-university-of-edinburgh,logo/ce563e70b.png,51,United Kingdom,gb,6,30.6,21.7,13.7,27.1,34.8,50,24.7
Technical University Munich,technical-university-of-munich,logo/3d748c924.png,53,Germany,de,1,30.5,36.8,22.2,24.6,21.3,47.2,28.8
The Hebrew University of Jerusalem,the-hebrew-university-of-jerusalem,logo/ee11c32f8.png,53,Israel,il,1,30.5,33.9,29.1,25.1,23,40.2,28
Utrecht University,utrecht-university,logo/5063041ca.png,53,Netherlands,nl,1,30.5,24.3,20.6,29.9,26,47.3,24.8
Purdue University - West Lafayette,purdue-university-west-lafayette,logo/2ef5fbfcc.png,56,United States,us,38,30.2,14.3,23.8,28.9,25.6,50.8,20.8
University of Melbourne,the-university-of-melbourne,logo/741caa454.png,57,Australia,au,1,30.1,18,13.7,24,22.7,63,27.1
University of Pittsburgh,university-of-pittsburgh,logo/bfcc56ad8.png,58,United States,us,39,30,19.6,0,42.2,23.5,60.9,18
University of Zurich,university-of-zurich,logo/897c2afe4.png,59,Switzerland,ch,2,29.9,5.4,24.7,25.9,29.2,50.1,25
University of Munich,university-of-munich,logo/6d76dd8bd.png,60,Germany,de,2,29.7,27.1,19.7,16.2,28.8,51.4,28.9
Rutgers,rutgers-the-state-university-of-new-jersey-new-brunswick,logo/c01c983b9.png,61,United States,us,40,29.6,10.8,19.4,38.9,26,43.2,21.9
University of Heidelberg,heidelberg-university,logo/c1b74c074.png,62,Germany,de,3,29.5,14.3,26.1,19.1,27,49.4,28.4
McGill University,mcgill-university,logo/88d833c3e.png,63,Canada,ca,3,29.3,32.1,0,31.5,24.6,57.8,24.5
The Australian National University,the-australian-national-university,logo/e6233a5b3.png,64,Australia,au,2,29.1,14.3,19.8,32.3,24.4,43.1,28.9
Brown University,brown-university,logo/3d8b527ff.png,65,United States,us,41-42,29,15.3,13.7,32.4,28.3,42.9,31.9
The Ohio State University - Columbus,the-ohio-state-university-columbus,logo/1ccdfc090.png,65,United States,us,41-42,29,13.3,0,40.5,25.5,59.5,17.7
University of Oslo,university-of-oslo,logo/2d1aa99b3.png,67,Norway,no,1,28.9,18.8,33.6,17.7,15.9,51.1,25.4
King's College London,kings-college-london,logo/7c3673100.png,68,United Kingdom,gb,7,28.6,13.3,21.7,30.7,17.7,50.9,22.3
University of Geneva,university-of-geneva,logo/7cd1dc0d1.png,69,Switzerland,ch,3,28.5,23,29.1,20.5,26.7,37,26.9
University of Bristol,university-of-bristol,logo/73d83b1e4.png,70,United Kingdom,gb,8,28.4,7.7,16.8,28.9,29.6,45.3,27.3
Boston University,boston-university,logo/cbbf3b6e2.png,71,United States,us,43,28,12.1,11.9,29.8,26.6,51.2,20.8
University of Florida,university-of-florida,logo/a1fc569d1.png,72,United States,us,44,27.9,18,0,37.4,20,60.4,17.1
Ecole Normale Superieure - Paris,ecole-normale-superieure-paris,logo/8c5918f6b.png,73,France,fr,3,27.6,50,24.4,12.4,17.4,27.3,55
Leiden University,leiden-university,logo/970699879.png,73,Netherlands,nl,2,27.6,18.8,9.7,28.9,22.2,47.6,32
University of Helsinki,university-of-helsinki,logo/174aa57e2.png,73,Finland,fi,1,27.6,13.3,16.8,24,20,52.7,27.7
Uppsala University,uppsala-university,logo/8e0a7d1d4.png,73,Sweden,se,2,27.6,18.8,28.3,14.5,22,48.1,23.9
University of Arizona,university-of-arizona,logo/b51ca4f00.png,77,United States,us,45,27.4,15.3,0,29.8,35.9,49.3,20.7
Technion-Israel Institute of Technology,technion-israel-institute-of-technology,logo/547232002.png,78,Israel,il,2,26.9,21,38.8,16.2,16.9,35.3,25.6
Arizona State University - Tempe,arizona-state-university,logo/4b703d82d.png,79,United States,us,46,26.6,0,20.6,27.1,29.2,43.1,18.6
Moscow State University,moscow-state-university,logo/98123a275.png,80,Russia,ru,1,26.3,43.7,34.1,0,9.1,48.1,29
Stockholm University,stockholm-university,logo/bd0e71ccb.png,81,Sweden,se,3,26.1,25.4,28.3,16.2,19.8,38.2,23.1
University of Utah,university-of-utah,logo/755c0861c.png,82,United States,us,47,26,0,11.9,30.7,25.9,46.4,23
Osaka University,osaka-university,logo/433a187e9.png,83,Japan,jp,3,25.9,9.4,0,27.1,28.7,55.2,20.5
Indiana University Bloomington,indiana-university-bloomington,logo/7a6b45fcc.png,84,United States,us,48,25.7,10.8,22.2,27.1,21.1,39.1,19.6
University of Basel,university-of-basel,logo/4b95c2a51.png,85,Switzerland,ch,4,25.6,20.3,16.8,24.9,17.9,37.7,33.3
Aarhus University,aarhus-university,logo/0ec23abb4.png,86,Denmark,dk,2,25.5,12.1,22.8,7.2,23.9,50.8,26.6
University of Nottingham,university-of-nottingham,logo/0bf332f99.png,86,United Kingdom,gb,9,25.5,12.1,20.6,24,17.7,45.8,19.9
University of Rochester,university-of-rochester,logo/9fac3887f.png,86,United States,us,49,25.5,26,7.9,28,22.4,41.5,21.7
Ghent University,ghent-university,logo/a05682830.png,89,Belgium,be,1,25.4,5.4,13.7,17.7,18.7,55.6,30
The University of Queensland,the-university-of-queensland,logo/9d6b97a7c.png,90,Australia,au,3,25.3,13.3,0,21.7,23.1,58.7,25.7
Rice University,rice-university,logo/3bd736da6.png,91,United States,us,50,25.1,17.1,22.4,21.5,23.9,30.6,30
McMaster University,mcmaster-university,logo/0f693978a.png,92,Canada,ca,4,25,13.3,19.4,24,15.6,45.2,21.5
Texas A&M University - College Station,texas-a-m-university,logo/df03442c2.png,93,United States,us,51,24.6,0,0,33.9,22.5,53.2,19.2
University of Sydney,university-of-sydney,logo/6f7db18c8.png,93,Australia,au,4,24.6,15.3,0,19.1,18.7,62.3,23.7
Weizmann Institute of Science,weizmann-institute-of-science,logo/f5dfa93ce.png,93,Israel,il,3,24.6,13.3,16.8,24,32,28.4,22.8
Michigan State University,michigan-state-university,logo/3be5907be.png,96,United States,us,52,24.4,9.4,0,36.9,16.3,51.5,18
Nagoya University,nagoya-university,logo/958492796.png,96,Japan,jp,4,24.4,23,14.6,16.2,21.5,44.7,20
The University of Western Australia,the-university-of-western-australia,logo/535124d88.png,96,Australia,au,5,24.4,14.3,14.6,25.8,13.3,44.2,26.7
Case Western Reserve University,case-western-reserve-university,logo/885955e6b.png,99,United States,us,53,24.3,32.1,11.2,21.7,18.7,39.3,22.2
University of Freiburg,university-of-freiburg,logo/023a63f53.png,99,Germany,de,4,24.3,19.6,19.4,15.9,24,37.5,22.9
Aix Marseille University,aix-marseille-university,logo/db573f4a7.png,101-150,France,fr,4-7,,14.3,0,16.2,22.1,44.3,15.3
Baylor College of Medicine,baylor-college-of-medicine,logo/413ba3e0b.png,101-150,United States,us,54-67,,0,0,19.1,32.3,39,19.3
Catholic University of Leuven,ku-leuven,logo/666263d88.png,101-150,Belgium,be,2-3,,0,0,22.9,15.2,53.3,25
Catholic University of Louvain,catholic-university-of-louvain,logo/ad05feb78.png,101-150,Belgium,be,2-3,,10.8,13.7,17.7,10.8,39.8,26.6
Emory University,emory-university,logo/7489183e0.png,101-150,United States,us,54-67,,0,0,32.4,24.3,49.4,17.5
Georgia Institute of Technology,georgia-institute-of-technology,logo/ce6aa6357.png,101-150,United States,us,54-67,,13.3,0,26,19.3,44.2,25.1
Hokkaido University,hokkaido-university,logo/0ed9be4d1.png,101-150,Japan,jp,5-7,,12.1,16.8,14.5,18,45.3,18.8
Joseph Fourier University (Grenoble 1),joseph-fourier-university-grenoble-1,logo/3fda45955.png,101-150,France,fr,4-7,,0,15.3,10.2,22.8,39.4,18.1
London School of Economics and Political Science,london-school-of-economics-and-political-science,logo/21a6b0778.png,101-150,United Kingdom,gb,10-14,,21,16.8,16.2,0,28.5,26
Lund University,lund-university,logo/165fbbe8f.png,101-150,Sweden,se,4,,22.4,0,25.1,14.1,48.9,19.5
Mayo Medical School,mayo-clinic-alix-school-of-medicine,logo-jpg/d60a8d8e800.jpg,101-150,United States,us,54-67,,0,0,25.1,14.8,47.5,24
Monash University,monash-university,logo/6d8339a6f.png,101-150,Australia,au,6-7,,0,0,14.5,20.4,53.8,21.7
National Taiwan University,national-taiwan-university,logo/075ca4af3.png,101-150,China-Taiwan,tw,1,,12.1,0,17.7,12.7,59.5,19.5
National University of Singapore,national-university-of-singapore,logo/31943e0cb.png,101-150,Singapore,sg,1,,0,0,10.2,17.1,57.5,26.3
Radboud University Nijmegen,radboud-university-nijmegen,logo/6759d15cf.png,101-150,Netherlands,nl,3-7,,17.1,0,7.2,17.8,50,30.3
Seoul National University,seoul-national-university,logo/4d302fc4e.png,101-150,South Korea,kr,1,,0,0,7.2,16.2,66.4,21.2
Swiss Federal Institute of Technology of Lausanne,swiss-federal-institute-of-technology-lausanne,logo/1946ead7f.png,101-150,Switzerland,ch,5,,0,0,24,23.5,40.8,33.1
Tel Aviv University,tel-aviv-university,logo/3384913de.png,101-150,Israel,il,4,,0,0,24,16.6,48.4,24.4
The University of Georgia,the-university-of-georgia,logo/4cb4fc994.png,101-150,United States,us,54-67,,0,0,27,21,41.2,17.9
The University of Sheffield,the-university-of-sheffield,logo/08629522c.png,101-150,United Kingdom,gb,10-14,,18.8,13.7,19.5,18.8,44,21.8
Tohoku University,tohoku-university,logo/cd197349d.png,101-150,Japan,jp,5-7,,15.3,0,21.4,23.2,55.1,20.7
Tokyo Institute of Technology,tokyo-institute-of-technology,logo/b7135745d.png,101-150,Japan,jp,5-7,,13.3,0,21.7,20.2,40.3,25.1
Tufts University,tufts-university,logo/a74ac6721.png,101-150,United States,us,54-67,,15.3,16.8,22.9,14.1,36.6,24.7
University of Alberta,university-of-alberta,logo/f1242c7ae.png,101-150,Canada,ca,5-6,,12.1,0,21.4,22.1,55,20.7
University of Amsterdam,university-of-amsterdam,logo/054e1350c.png,101-150,Netherlands,nl,3-7,,5.4,0,19.1,18,52.8,25.8
University of Birmingham,university-of-birmingham,logo/aac49270e.png,101-150,United Kingdom,gb,10-14,,19.6,9.7,21.6,16.1,44.7,20.5
University of Bonn,university-of-bonn,logo/68c81f6c8.png,101-150,Germany,de,5-8,,16.3,20.4,14.7,21.1,40.9,23.2
University of California - Riverside,university-of-california-riverside,logo/5f4516909.png,101-150,United States,us,54-67,,0,0,28.9,34.8,30.5,32.1
University of California - Santa Cruz,university-of-california-santa-cruz,logo/9ca868f71.png,101-150,United States,us,54-67,,13.3,0,27.1,27.4,33.5,27.2
University of Delaware,university-of-delaware,logo/0837d432d.png,101-150,United States,us,54-67,,10.8,16.8,22.9,11.6,31.4,18.6
