name,code,logo,rank,region,region_code,region_ranking,score,indicator_Alumni,indicator_Award,indicator_HiCi,indicator_N&S,indicator_PUB,indicator_PCP
Harvard University,harvard-university,logo/032bd1b77.png,1,United States,us,1,100,100,100,100,100,100,79.5
Stanford University,stanford-university,logo/13de8913b.png,2,United States,us,2,76.5,44.5,88.5,87.3,74.4,73.7,56.8
University of Cambridge,university-of-cambridge,logo/8d9861b69.png,3,United Kingdom,gb,1,70.9,81.4,95.4,54.6,57.3,69.8,59.1
Massachusetts Institute of Technology (MIT),massachusetts-institute-of-technology-mit,logo/79165fd8b.png,4,United States,us,3,70.4,68.7,82.3,56.7,72.4,63.5,70.8
University of California - Berkeley,university-of-california-berkeley,logo/0ff179fb8.png,5,United States,us,4,69.1,64.4,78.4,63.6,68.1,66.7,58.7
Princeton University,princeton-university,logo/b1dad5288.png,6,United States,us,5,61.1,54.4,97.9,47.6,46.6,43.3,73.5
University of Oxford,university-of-oxford,logo/c1d967477.png,7,United Kingdom,gb,2,60.1,50.8,54.2,62.7,52.5,75.8,47.2
Columbia University,columbia-university,logo/ce3421720.png,8,United States,us,6,58.8,62.8,65.1,50,53.8,70.3,34.3
California Institute of Technology,california-institute-of-technology,logo/c956f3d98.png,9,United States,us,7,57.3,50.5,65.8,39.3,56,44,100
University of Chicago,university-of-chicago,logo/b4f6eec47.png,10,United States,us,8,53.9,59.2,85.1,36.2,41.1,50.3,43.1
Yale University,yale-university,logo/5c6f4b7f6.png,11,United States,us,9,52.8,47.1,49.7,48.8,57.1,61,37.2
University of California - Los Angeles,university-of-california-los-angeles,logo/27bdc3879.png,12,United States,us,10,52.5,29.2,46.4,63.6,44.9,70.9,33.6
University of Washington,university-of-washington,logo/e37a45f2d.png,13,United States,us,11,50.3,20.9,37.4,56.7,51.2,74.3,32.7
Cornell University,cornell-university,logo/e6c9fdb3e.png,14,United States,us,12,49.6,43.1,49.1,43.6,46.1,61.1,42.6
University of California - San Diego,university-of-california-san-diego,logo/3ef15c5ab.png,15,United States,us,13,49.5,19,35.1,58.8,56.4,63.7,38.3
University College London,university-college-london,logo/9f3188b58.png,16,United Kingdom,gb,3,47.1,27.8,35.8,47.6,39.6,77,33.5
University of Pennsylvania,university-of-pennsylvania,logo/9cdff1ab0.png,17,United States,us,14,46,31.3,33.4,50,38.7,68,39.5
Johns Hopkins University,johns-hopkins-university,logo/6a65dac86.png,18,United States,us,15,45.7,37.3,33.2,40.8,42.8,73.3,30
Swiss Federal Institute of Technology Zurich,eth-zurich,logo/690aaf016.png,19,Switzerland,ch,1,44.1,29.2,35.1,36.2,49.5,56.9,47.4
Washington University in St. Louis,washington-university-in-st-louis,logo/e4356564f.png,20,United States,us,16,43.3,22.7,24.6,60.7,43.3,52,40
University of California - San Francisco,university-of-california-san-francisco,logo/5d107d88e.png,21,United States,us,17,42.4,0,39.4,39.3,50.8,61.4,33.3
Northwestern University,northwestern-university,logo/7e0da1019.png,22,United States,us,18,41.9,15.2,27.6,59.8,34.1,59.3,34.3
University of Toronto,university-of-toronto,logo/760dedb4f.png,23,Canada,ca,1,41.6,19.7,17,40.8,39.6,80.6,31.7
The University of Tokyo,the-university-of-tokyo,logo/68d505f23.png,24,Japan,jp,1,41.5,38.3,25,28.9,45.2,70.3,29.5
University of Michigan-Ann Arbor,university-of-michigan-ann-arbor,logo/5edf88399.png,24,United States,us,19,41.5,34.1,0,54.6,40.7,77.9,26
Duke University,duke-university,logo/793d0ba4d.png,26,United States,us,20,41,15.2,19,61.7,37.8,61.5,26.5
Imperial College London,imperial-college-london,logo/20b72ddaf.png,27,United Kingdom,gb,4,40.9,14.4,35.4,42.3,30.9,64.8,39.5
University of Wisconsin - Madison,university-of-wisconsin-madison,logo/da433331f.png,28,United States,us,21,39.7,32.5,34.3,34.5,33.4,63.5,24.5
New York University,new-york-university,logo/d254e1d21.png,29,United States,us,22,38.6,29.6,31.5,34.5,38.4,58.9,21.6
University of Copenhagen,university-of-copenhagen,logo/ba52788d7.png,30,Denmark,dk,1,38.5,21.5,18.6,34.5,36.6,66.7,43.1
University of British Columbia,university-of-british-columbia,logo/38ff70adf.png,31,Canada,ca,2,37.7,15.2,18.6,47.6,31.2,65.6,28.4
The University of Edinburgh,the-university-of-edinburgh,logo/ce563e70b.png,32,United Kingdom,gb,5,37,24.3,24.6,46.3,29.7,53.8,29
University of North Carolina at Chapel Hill,university-of-north-carolina-at-chapel-hill,logo/6f189065b.png,33,United States,us,23,36.9,8.8,23.4,42.3,31.8,61.5,35.2
University of Minnesota - Twin Cities,university-of-minnesota-twin-cities,logo/7f9e67da9.png,34,United States,us,24,36.8,29.2,16.1,39.3,33.1,65.2,24.1
Kyoto University,kyoto-university,logo/ac21f9c26.png,35,Japan,jp,2,36.7,31.3,36.7,24.4,31.8,59.3,23.8
Rockefeller University,rockefeller-university,logo/22e351bb0.png,36,United States,us,25,36.6,16.8,59,30.9,41.1,19.6,40.5
University of Illinois at Urbana-Champaign,university-of-illinois-at-urbana-champaign,logo/49df86f43.png,37,United States,us,26,36.2,29.6,35.8,24.4,30.8,57.4,28.1
The University of Manchester,the-university-of-manchester,logo/ef5cc8934.png,38,United Kingdom,gb,6,36.1,18.3,32.2,32.7,28.7,59.7,28.8
The University of Melbourne,the-university-of-melbourne,logo/741caa454.png,39,Australia,au,1,35.9,16.8,13.1,45,22.8,69.7,33.9
Pierre and Marie Curie University - Paris 6,pierre-and-marie-curie-university-paris-6,logo/438b4206b.png,40,France,fr,1,35.5,33.3,27.1,24.4,28,62.9,29.5
University of Paris-Sud (Paris 11),university-of-paris-sud-paris-11,logo/250639a27.png,41,France,fr,2,35,30,53.6,18.9,18.7,48.6,33.2
Heidelberg University,heidelberg-university,logo/c1b74c074.png,42,Germany,de,1,34.8,19.7,25,34.5,28.8,53.6,37.5
University of Colorado at Boulder,university-of-colorado-at-boulder,logo/41aff2fed.png,43,United States,us,27,34.7,12.4,33.6,28.9,37.1,46.6,34.8
Karolinska Institute,karolinska-institute,logo/826acd5a2.png,44,Sweden,se,1,33.3,25.4,26.3,24.4,23.7,53.3,45.8
University of California - Santa Barbara,university-of-california-santa-barbara,logo-jpg/63f81166100.jpg,45,United States,us,28,33.2,14.4,38.6,32.7,26.7,38.3,38
King's College London,kings-college-london,logo/7c3673100.png,46,United Kingdom,gb,7,33.1,20.9,20.8,39.3,21.1,56.1,29
Utrecht University,utrecht-university,logo/5063041ca.png,47,Netherlands,nl,1,33,22.7,19.7,40.8,26.7,47.7,31.1
The University of Texas Southwestern Medical Center at Dallas,the-university-of-texas-southwestern-medical-center-at-dallas,logo/8ab040a7d.png,48,United States,us,29,32.8,18.3,34,28.9,39.4,35.6,27.2
Tsinghua University,tsinghua-university,logo/27532357.png,48,China,cn,1,32.8,10.2,0,37.8,35.2,70.3,25.1
Technical University Munich,technical-university-of-munich,logo/3d748c924.png,50,Germany,de,2,32.7,34.4,21.3,28.9,23.4,51.7,35.5
The University of Texas at Austin,the-university-of-texas-at-austin,logo/203d8cd87.png,51,United States,us,30,32.5,16.1,16.1,28.9,35.9,56.9,26.9
Vanderbilt University,vanderbilt-university,logo/bb01ff238.png,52,United States,us,31,32,15.2,28.6,36.2,21.6,51.9,21.4
University of Maryland - College Park,university-of-maryland-college-park,logo/0eeb3a1e0.png,53,United States,us,32,31.8,19,19.7,26.7,31.9,53.6,28.2
