name,code,logo,rank,region,region_code,region_ranking,score,indicator_Alumni,indicator_Award,indicator_HiCi,indicator_N&S,indicator_PUB,indicator_PCP
Harvard University,harvard-university,logo/032bd1b77.png,1,United States,us,1,100,100,100,100,100,100,72.5
Stanford University,stanford-university,logo/13de8913b.png,2,United States,us,2,72.6,40,80.7,88.9,68.7,69.4,50.4
University of California - Berkeley,university-of-california-berkeley,logo/0ff179fb8.png,3,United States,us,3,71.3,67.8,79,69.7,68.5,68.1,54.7
Massachusetts Institute of Technology (MIT),massachusetts-institute-of-technology-mit,logo/79165fd8b.png,4,United States,us,4,71.1,68,81.3,68.2,69.7,60.1,65
University of Cambridge,university-of-cambridge,logo/8d9861b69.png,5,United Kingdom,gb,1,69.6,79.1,97.3,54.6,54,66.2,53.3
California Institute of Technology,california-institute-of-technology,logo/c956f3d98.png,6,United States,us,5,62.9,47.8,67.2,57.4,62,45.2,100
Princeton University,princeton-university,logo/b1dad5288.png,7,United States,us,6,61.9,52.9,89.2,62.2,45.8,44,66.9
Columbia University,columbia-university,logo/ce3421720.png,8,United States,us,7,59.8,66.1,66.4,57.4,49.8,68,31.9
University of Chicago,university-of-chicago,logo/b4f6eec47.png,9,United States,us,8,57.1,60.9,83.4,52.2,41.9,49.8,39.5
University of Oxford,university-of-oxford,logo/c1d967477.png,10,United Kingdom,gb,2,55.9,51.8,55.3,48.9,51.3,69.9,41.2
Yale University,yale-university,logo/5c6f4b7f6.png,11,United States,us,9,55.4,47.5,44.5,59.7,60.7,62.4,36.3
University of California - Los Angeles,university-of-california-los-angeles,logo/27bdc3879.png,12,United States,us,10,52.9,27.3,47.4,57.7,51.7,71.2,31.1
Cornell University,cornell-university,logo/e6c9fdb3e.png,13,United States,us,11,50,38.2,50.2,54.9,45,55.2,37.6
University of California - San Diego,university-of-california-san-diego,logo/3ef15c5ab.png,14,United States,us,12,49.9,20,35.8,60.3,55.5,63.4,35.5
University of Pennsylvania,university-of-pennsylvania,logo/9cdff1ab0.png,15,United States,us,13,49.6,33,34.1,57.9,47.4,66.7,37.7
University of Washington,university-of-washington,logo/e37a45f2d.png,16,United States,us,14,48.3,22,31.8,55.1,52.3,70.8,27.9
The Johns Hopkins University,johns-hopkins-university,logo/6a65dac86.png,17,United States,us,15,46.9,39.3,33.9,42.2,49.7,68.8,27.4
University of California - San Francisco,university-of-california-san-francisco,logo/5d107d88e.png,18,United States,us,16,46.2,0,40.2,53.7,54.1,59.3,34.1
University of Wisconsin - Madison,university-of-wisconsin-madison,logo/da433331f.png,19,United States,us,17,44.9,32.1,35,52.1,39.3,63.3,25.1
Swiss Federal Institute of Technology Zurich,eth-zurich,logo/690aaf016.png,20,Switzerland,ch,1,43.5,30.7,35.8,36.7,46.6,54.7,44.4
The University of Tokyo,the-university-of-tokyo,logo/68d505f23.png,21,Japan,jp,1,43,32.1,14.2,42.5,50,72.2,27.8
University College London,university-college-london,logo/9f3188b58.png,21,United Kingdom,gb,3,43,29.3,29.7,39.6,42.1,67.5,31.3
University of Michigan - Ann Arbor,university-of-michigan-ann-arbor,logo/5edf88399.png,23,United States,us,18,42.6,33.4,0,60.5,42,75.7,24.7
The Imperial College of Science - Technology and Medicine,imperial-college-london,logo/20b72ddaf.png,24,United Kingdom,gb,4,41.6,15.1,36.1,41.6,39,60.4,35.7
University of Illinois at Urbana-Champaign,university-of-illinois-at-urbana-champaign,logo/49df86f43.png,25,United States,us,19,41.1,31.2,36.5,43.3,35.9,54.2,28.4
Kyoto University,kyoto-university,logo/ac21f9c26.png,26,Japan,jp,2,40.8,30.7,37.5,38.9,35.1,60.2,23.2
New York University,new-york-university,logo/d254e1d21.png,27,United States,us,20,40.5,29.3,32.2,42.2,40.8,55.5,22.8
University of Toronto,university-of-toronto,logo/760dedb4f.png,28,Canada,ca,1,40.3,20.7,17.3,39,38.2,77.6,27.4
University of Minnesota - Twin Cities,university-of-minnesota-twin-cities,logo/7f9e67da9.png,29,United States,us,21,39.7,27.3,16.4,51.1,34.7,64.3,25.5
Northwestern University,northwestern-university,logo/7e0da1019.png,30,United States,us,22,38.9,16,22.2,48.5,39.1,57.5,27.1
Duke University,duke-university,logo/793d0ba4d.png,31,United States,us,23,38.1,16,15,46.5,42.8,61.6,22.5
Washington University in St. Louis,washington-university-in-st-louis,logo/e4356564f.png,32,United States,us,24,37.5,19.3,25.1,39,44.2,52.1,24.9
University of Colorado at Boulder,university-of-colorado-at-boulder,logo/41aff2fed.png,33,United States,us,25,37.3,13.1,34.3,39.6,39.2,45,33.6
Rockefeller University,rockefeller-university,logo/22e351bb0.png,34,United States,us,26,37.1,17.7,60.2,28.9,43.1,20.4,38.1
University of California - Santa Barbara,university-of-california-santa-barbara,logo-jpg/63f81166100.jpg,35,United States,us,27,35.9,15.1,35.4,42.7,30.9,39.3,37.2
The University of Texas at Austin,the-university-of-texas-at-austin,logo/203d8cd87.png,36,United States,us,28,35.4,16.9,16.4,45.7,34.9,54.2,25.5
Pierre and Marie  Curie University - Paris 6,sorbonne-university,logo/f900e4997.png,37,France,fr,1,35.3,35.1,27.6,25.1,30.8,59.1,22.8
University of Maryland - College Park,university-of-maryland-college-park,logo/0eeb3a1e0.png,38,United States,us,29,34.7,20,20.1,41.5,31.5,52.6,26.3
University of Paris Sud (Paris 11),university-of-paris-sud-paris-11,logo/250639a27.png,39,France,fr,2,34.5,31.6,54.7,16.2,19.7,48.7,25.7
University of British Columbia,university-of-british-columbia,logo/38ff70adf.png,40,Canada,ca,2,34.2,16,19,32.4,31.9,63.6,22.9
The University of Manchester,the-university-of-manchester,logo/ef5cc8934.png,41,United Kingdom,gb,5,34,19.3,32.8,27.7,26,57,24.4
University of Copenhagen,university-of-copenhagen,logo/ba52788d7.png,42,Denmark,dk,1,33.8,22.7,19,25.9,30.3,60.2,35
University of North Carolina at Chapel Hill,university-of-north-carolina-at-chapel-hill,logo/6f189065b.png,43,United States,us,30,33.7,9.3,16.4,39.6,32.8,58.6,23.5
Karolinska Institute,karolinska-institute,logo/826acd5a2.png,44,Sweden,se,1,32.7,23.3,26.8,32.4,20.9,49.2,35.9
University of California - Irvine,university-of-california-irvine,logo/b1df85949.png,45,United States,us,31,32.4,0,29.5,36.9,30.7,46.8,27.1
The University of Texas Southwestern Medical Center at Dallas,the-university-of-texas-southwestern-medical-center-at-dallas,logo/8ab040a7d.png,46,United States,us,32,31.4,19.3,34.7,30.6,32.9,34.6,20.6
University of California - Davis,university-of-california-davis,logo/59eef6399.png,47,United States,us,33-34,31.3,0,0,47.3,33.6,58.6,25.8
University of Southern California,university-of-southern-california,logo/f94b07167.png,47,United States,us,33-34,31.3,0,26.8,39.6,25.1,51.3,19.1
Vanderbilt University,vanderbilt-university,logo/bb01ff238.png,49,United States,us,35,31,16,29.2,32.4,21,50.9,18.4
Technical University Munich,technical-university-of-munich,logo/3d748c924.png,50,Germany,de,1,30.6,36.3,21.7,24.6,22.4,46.7,30.4
The University of Edinburgh,the-university-of-edinburgh,logo/ce563e70b.png,51,United Kingdom,gb,6,30.5,21.4,13.4,27.1,33.6,50.9,25.3
Carnegie Mellon University,carnegie-mellon-university,logo/e1f857b46.png,52,United States,us,36,30.4,33,31.8,30.7,18.1,34,33.6
Utrecht University,utrecht-university,logo/5063041ca.png,52,Netherlands,nl,1,30.4,23.9,20.1,29.9,25.9,47.1,25.1
Pennsylvania State University - University Park,pennsylvania-state-university-university-park,logo/1069b7da2.png,54,United States,us,37,30.2,10.7,0,47.1,31.4,52,21.8
University of Heidelberg,heidelberg-university,logo/c1b74c074.png,54,Germany,de,2,30.2,14.1,25.5,19.1,28.5,51.1,30.9
University of Melbourne,the-university-of-melbourne,logo/741caa454.png,54,Australia,au,1,30.2,17.7,13.4,24,24.4,62.5,27.1
Purdue University - West Lafayette,purdue-university-west-lafayette,logo/2ef5fbfcc.png,57,United States,us,38,30.1,14.1,23.2,28.9,26.7,49.6,21.7
McGill University,mcgill-university,logo/88d833c3e.png,58,Canada,ca,3,29.9,31.6,0,31.5,26.1,58.8,25.9
The Hebrew University of Jerusalem,the-hebrew-university-of-jerusalem,logo/ee11c32f8.png,59,Israel,il,1,29.8,33.4,28.4,25.1,21.5,38.7,28.8
University of Zurich,university-of-zurich,logo/897c2afe4.png,60,Switzerland,ch,2,29.7,5.3,24.2,25.9,28.1,50.9,25.3
Rutgers - The State University of New Jersey - New Brunswick,rutgers-the-state-university-of-new-jersey-new-brunswick,logo/c01c983b9.png,61,United States,us,39-40,29.5,10.7,19,38.9,26.2,43,22.1
University of Munich,university-of-munich,logo/6d76dd8bd.png,61,Germany,de,3,29.5,26.7,19.3,16.2,28.1,51.2,30.4
University of Pittsburgh,university-of-pittsburgh,logo/bfcc56ad8.png,61,United States,us,39-40,29.5,19.3,0,42.2,21.8,60.8,18
University of Bristol,university-of-bristol,logo/73d83b1e4.png,64,United Kingdom,gb,7,29.2,7.6,16.4,28.9,32.8,45.7,28.8
The Ohio State University - Columbus,the-ohio-state-university-columbus,logo/1ccdfc090.png,65,United States,us,41,29,13.1,0,40.5,25.9,58.9,18
